n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
4135.3,4272.3,4426.8,4601.7,4747.2,4926.5,5096.6,5263.7,5406.3,5569.9,5717.7,5858.5,5976,NaN,6160.4,6303.1,6516,NaN,6594.4,6774.2,NaN,6965.2,7104.6,7322.7,NaN,7402.5,7587.4,NaN,7786.7,7924.7,8142.1,NaN,8224.7,8416.6,8564.9,8676,8855.1,NaN,9048.5,9195.3,9374.9,9525,9633.1,9822.8,NaN,10017,10167,10370,10515,10621,10805,NaN,10997,11145,11350,11496,11600,11788,NaN,11984,12132,12328,NaN,12429,12614,NaN,12817,12960,13164,13322,13436,13623,NaN,13819,13970,14199,NaN,14281,14467,NaN,14658,14819,14986,15141,15260,15444,NaN,15641,15800,16226,16367,16482,16672,NaN,16866,17016,17238,NaN,17319,17522,NaN,17719,17872,18033,NaN,18187,18381,NaN,18580,18749
4166.7,4322.3,4491.3,4652.9,4814,4987.7,5154.8,5318.7,5472.9,5642.1,5790.7,5935.2,NaN,6106.1,6261.9,6389.8,NaN,6563.8,6670.4,NaN,6921.3,7066.7,7190.9,NaN,7372.9,7480.2,NaN,7744.6,7869.5,8009,NaN,8190.4,8303.1,8495.6,8641.9,8752.2,NaN,9000.7,9151.6,9282.3,9453.8,9598.6,9712.2,NaN,9969.8,10119,10251,10450,10586,10699,NaN,10951,11101,11234,11432,11566,11678,NaN,11936,12091,12216,NaN,12396,12509,NaN,12770,12913,13044,13244,13399,13540,NaN,13773,13923,14057,NaN,14250,14365,NaN,14634,14768,14908,15065,15216,15356,NaN,15598,15746,15888,16296,16442,16584,NaN,16822,16972,17102,NaN,17292,17397,NaN,17670,17826,17959,NaN,18150,18291,NaN,18529,18687,18840
