n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1981,2128.9,2292.9,2474.7,2710.5,2866,3011,3166.2,3277.4,NaN,3465.7,3610.3,3821.4,NaN,3907.1,4095,NaN,4292.8,4441,4655,NaN,4738.3,4938.5,5092.8,5196.9,5383.1,NaN,5578.2,5725.7,5959.5,NaN,6042.3,6232.3,6385,6675.3,NaN,6872.4,7026.2,7243.2,NaN,7325,7515.3,NaN,7709.8,7856.8,8024.8,8177.4,8284.1,8481.2,NaN,8678.9,8830.5,9047,NaN,9131.1,9315.2,9472.8,9578,9767.4,NaN,9963,10131,10344,NaN,10424,10629,NaN,10826,10993,11207,NaN,11290,11476,NaN,11673,11827,12055,NaN,12139,12332,12506,12618,12807,NaN,13007,13166
2011.6,2167.5,2336.4,2526.5,2760.9,2925.4,3083.1,3238.3,NaN,3411.1,3558.5,3690,NaN,3871.8,3974.2,NaN,4242.5,4379.6,4523.8,NaN,4703,4807.3,5015.6,5163.9,5267.8,NaN,5524.4,5671.3,5810.9,NaN,6009.3,6111.9,6308.2,6582.2,NaN,6825.1,6962.4,7107.4,NaN,7294.4,7393.7,NaN,7656.6,7801.9,7939.2,8100.8,8248.6,8376.9,NaN,8631.3,8774.8,8910.4,NaN,9095.9,9200.3,9388.1,9540.9,9670.5,NaN,9916.2,10047,10212,NaN,10392,10494,NaN,10773,10921,11073,NaN,11260,11360,NaN,11624,11777,11908,NaN,12105,12208,12405,12577,12706,NaN,12956,13103,13248
