n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
5951.6,6144,6354.5,6508.5,6656.6,6806.8,6948.6,7090.8,7204.1,NaN,7391.2,7533.5,7746.5,NaN,7822.5,8007.8,NaN,8198.2,8341.2,8556.8,NaN,8634.3,8821.8,NaN,9013.1,9164.3,9384.7,NaN,9463.5,9652.6,NaN,9845.4,9991.7,10211,NaN,10296,10496,10652,10756,10940,NaN,11134,11287,11506,NaN,11586,11782,11932,12038,12215,NaN,12409,12563,12778,NaN,12861,13060,NaN,13259,13402,13614,13761,13871,14075,14223,14335,14524,NaN,14720,14872,15102,15247,15356,15549,NaN,15742,15894,16113,NaN,16196,16400,16558,16706,16856,16961,NaN,17154,17304,17466,NaN,17617,17813,NaN,18011,18184,18426,18573,18682,18869,NaN,19064,19223,19385,NaN,19537,19739,NaN,19940,20097
6003.3,6193.6,6402.4,6550.6,6719,6878.5,7022.1,7166.7,NaN,7335.5,7479.6,7614.1,NaN,7793.2,7894.8,NaN,8149.6,8293,8424.9,NaN,8603.8,8706.9,NaN,8964.5,9116.2,9249.9,NaN,9432.1,9537,NaN,9794.2,9944.1,10071,NaN,10260,10368,10569,10723,10828,NaN,11085,11230,11370,NaN,11556,11663,11858,12004,12113,NaN,12364,12509,12644,NaN,12827,12935,NaN,13211,13354,13485,13692,13834,13960,14145,14302,14410,NaN,14668,14814,14959,15177,15321,15447,NaN,15691,15847,15974,NaN,16165,16270,16475,16633,16784,16922,NaN,17102,17252,17390,NaN,17578,17709,NaN,17965,18098,18259,18503,18649,18759,NaN,19013,19161,19306,NaN,19500,19633,NaN,19893,20045,20179
