n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1845.8,1984.3,2168.6,2328.6,2480.6,2640.8,2794.3,2949,3091,3217.2,NaN,3409.7,3552.9,3739.1,NaN,3845.9,4030.2,NaN,4221.2,4374.9,4540,NaN,4661.8,4836.3,4996.3,5099.8,5292.7,NaN,5486,5627.7,5819.4,5967.2,6073.3,6259,NaN,6452.2,6599.3,6791.4,NaN,6897.1,7086.9,NaN,7288.9,7433.3,7636.2,7790.6,7897.7,8084.9,NaN,8261.5,8428.6,8624.5,NaN,8729.7,8913.5,NaN,9108,9259.4,9461.5,NaN,9563.5,9746.1,9896.5,10003,10189,NaN,10380,10530,10694,10858,10971,11163,NaN,11356,11511,11725,NaN,11834,12028,NaN,12223,12382,12576,NaN,12681,12875,NaN,13072,13236,13466,13612,13719,13937,NaN,14146,14299,14497,NaN,14600,14806,14972,15084,15314,NaN,15507,15682,15883,NaN,15990,16195,16355,16469,16663,NaN,16859,17020,17171,NaN,17334,17542,17690,17806,17998,NaN,18195,18366
1880.9,2026.1,2207.5,2378.7,2535.5,2707.9,2871.6,3025.1,3169.7,NaN,3363.9,3513.3,3635.6,NaN,3816.8,3924.1,NaN,4179.7,4320.8,4458.3,NaN,4635.1,4746.3,4913.2,5065.1,5173.4,NaN,5441.5,5587.9,5710.3,5894,6041.2,6147.6,NaN,6407.3,6556.8,6681.2,NaN,6862.3,6980,NaN,7221.8,7387.4,7518.2,7717.7,7864.5,7975.2,NaN,8247.1,8378.1,8511.6,NaN,8702.3,8804.8,NaN,9060.2,9211.3,9344.4,NaN,9532.1,9647.1,9826.2,9971.1,10079,NaN,10338,10484,10616,10779,10936,11053,NaN,11313,11459,11619,NaN,11801,11917,NaN,12189,12325,12466,NaN,12652,12761,NaN,13024,13170,13320,13545,13683,13801,NaN,14098,14238,14399,NaN,14568,14682,14888,15048,15169,NaN,15463,15614,15764,NaN,15953,16078,16283,16432,16546,NaN,16815,16969,17104,NaN,17292,17428,17611,17768,17905,NaN,18150,18290,18419
