n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1736.8,1986.2,2144,2292.4,2446.2,2596.5,2737.2,2886.2,3002.1,NaN,3186.8,3332.7,3547.2,NaN,3626,3809.6,NaN,4004.1,4150.4,4301.7,NaN,4450.4,4622.8,4782.4,4891.1,5084.9,NaN,5279.5,5434.7,5591.7,NaN,5741.4,5933.8,NaN,6127.8,6286.4,6522.3,6671.2,6777.3,6969.2,NaN,7169.4,7319.9,7544.6,NaN,7629.3,7826.7,NaN,8029.1,8192.5,8363.1,8524.4,8633.9,8832.6,NaN,9028.9,9194.4,9466.5,9613.5,9724.4,9923.8,NaN,10124,10290,10510,NaN,10596,10804,NaN,11001,11162
1777.2,2042.9,2206,2365.2,2521.6,2670.7,2811.6,2963.7,NaN,3133,3286.2,3417.6,NaN,3592.7,3700.6,NaN,3956.2,4103.8,4239,NaN,4414.1,4552.6,4700.9,4852,4964.9,NaN,5235.1,5388.8,5518.4,NaN,5706,5843.7,NaN,6086,6225.3,6371.7,6597.6,6745.8,6854.3,NaN,7123.1,7271.7,7407.7,NaN,7595.1,7711.6,NaN,7980.5,8103.9,8276.9,8445.8,8601.4,8716.5,NaN,8982.5,9132.6,9282.5,9537.4,9688.8,9821.9,NaN,10078,10229,10375,NaN,10564,10672,NaN,10957,11100,11248
