n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1807.1,1981.5,2344.7,2508.6,2691.8,2867.8,3017.6,3168,3322,3471.1,3635.8,3787.6,NaN,3974.8,4124.2,4339,NaN,4410.7,4609.3,NaN,4803,4955.9,5172.8,NaN,5255.8,5444.8,NaN,5640.7,5790.6,5946.6,NaN,6114.7,6286.5,6437.5,6544.5,6730.6,NaN,6927.6,7079.1,7270.7,7427.1,7534.1,7719.8,NaN,7919.4,8071.3,8228.6,NaN,8382.8,8582.6,NaN,8775.9,8927.1,9079.4,NaN,9233.5,9417.6,9573.8,9684.8,9883.4,NaN,10082,10232,10452,NaN,10536,10736,NaN,10935,11085,11307,NaN,11391,11592,11743,11858,12053,NaN,12249,12399,12662,12814,12929,13120,NaN,13321,13476,13694,NaN,13780,13991,14150,14267,14471,NaN,14667,14828,15052,NaN,15138,15343,NaN,15541,15690,15853,NaN,16006,16197,16366,16473,16673,NaN,16871,17031,17195,NaN,17458,17615,17775,17945,18085,NaN,18285,18441,18647,NaN,18807,19002,NaN,19199,19362
1846,2025.6,2385.7,2552.1,2746.1,2916,3080.8,3242.1,3397.1,3547.9,3714.3,NaN,3925.2,4077.7,4213.6,NaN,4386.3,4504.7,NaN,4753.9,4904.5,5040,NaN,5220,5331,NaN,5594.8,5744.5,5875.8,NaN,6056.8,6204.9,6363,6514.1,6619.3,NaN,6881.2,7031,7167.5,7352.3,7494.9,7618.2,NaN,7869.2,8027.7,8157.1,NaN,8343.2,8479.9,NaN,8734.3,8881.9,9012,NaN,9196.8,9327.2,9499.1,9646.3,9762.1,NaN,10039,10188,10320,NaN,10503,10612,NaN,10890,11035,11171,NaN,11360,11476,11673,11819,11956,NaN,12203,12355,12487,12740,12890,13024,NaN,13274,13422,13563,NaN,13747,13856,14063,14228,14364,NaN,14620,14771,14912,NaN,15105,15222,NaN,15495,15647,15774,NaN,15971,16103,16274,16441,16552,NaN,16825,16974,17119,NaN,17315,17530,17690,17852,18023,NaN,18238,18392,18526,NaN,18767,18910,NaN,19146,19305,19448
