n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
3922.2,4077.8,4246.5,4391.5,4531,4651.6,4984.6,5123.6,5271.2,5408.1,5516.4,NaN,5703.8,5841,6046.7,NaN,6125.3,6301.5,NaN,6493,6631.8,6829.9,NaN,6930.5,7126.8,NaN,7306.2,7448.3,7581.6,7873.6,8016.8,8158,8275.9,NaN,8467.8,8606.9,8803.6,NaN,8895.8,9084.8,NaN,9268.9,9413.8,9615.5,NaN,9707.3,9895.2,NaN,10087,10234,10437,10585,10686,10874,NaN,11066,11217,11429,NaN,11511,11708,NaN,11904,12056,12258,NaN,12358,12551,NaN,12741,12889,13099,NaN,13192,13385,NaN,13578,13729,13983,14124,14230,14425,NaN,14616,14769,14985,NaN,15068,15276,15432,15581,15729,NaN,15923,16070,16290,NaN,16371,16563,NaN,16759,16915,17136,NaN,17217,17417,NaN,17616,17780,18021,18165,18268,18467,NaN,18662,18809,18965,NaN,19114,19319,NaN,19516,19672
3953.3,4132.8,4295.7,4450.3,4604.5,4919.8,5060.9,5196.7,5344.4,5483.7,NaN,5649.1,5804.3,5923.1,NaN,6095.2,6197.7,NaN,6441.9,6589.3,6716.4,NaN,6899.4,7007.1,NaN,7260.7,7407.3,7531.5,7702.5,7943.5,8091.2,8231.8,NaN,8421.3,8561.9,8689.5,NaN,8864.2,8964.9,NaN,9223.5,9364.1,9494.8,NaN,9674.9,9778.1,NaN,10034,10181,10314,10515,10652,10769,NaN,11020,11161,11299,NaN,11476,11586,NaN,11853,12010,12138,NaN,12328,12430,NaN,12695,12843,12973,NaN,13164,13263,NaN,13530,13674,13812,14059,14197,14307,NaN,14567,14718,14852,NaN,15035,15138,15348,15505,15655,NaN,15877,16025,16152,NaN,16339,16444,NaN,16711,16857,16998,NaN,17183,17289,NaN,17565,17718,17863,18096,18231,18353,NaN,18611,18763,18891,NaN,19078,19206,NaN,19466,19620,19758
