n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e
2936.4,3085.2,3281,3566.5,3789.9,3947.6,4230.4,4382.8,4533.9,4685.2,4838.2,4956,NaN,5138.7,5285.8,5504.5,NaN,5587.5,5778.1,NaN,5972.1,6119.3,6339.4,NaN,6421,6605.3,6761.4,6868.7,7052.1,NaN,7247.4,7397.1,7607.8,NaN,7694.2,7880.2,NaN,8076.8,8223.3,8448.8,NaN,8530.6,8724.9,NaN,8919.8,9071.2,9228.4,NaN,9405.8,9584.1,9736.9,9844.1,10026,NaN,10221,10376,10580,10735,10845,11038,NaN,11236,11398
2974.2,3148.9,3316.9,3603.5,3836.3,3986,4282,4457.2,4607.8,4760.5,4912,NaN,5084.7,5238,5371.3,NaN,5554.4,5662.3,NaN,5922.6,6073.9,6202.8,NaN,6390,6492.5,6683.9,6834.2,6943.3,NaN,7199.4,7349.7,7479.5,NaN,7661.2,7771.6,NaN,8030.7,8175.2,8310.1,NaN,8500.3,8604.6,NaN,8869.2,9021.6,9156.7,NaN,9349.7,9495.7,9662.1,9806.4,9916.5,NaN,10171,10325,10459,10665,10809,10919,NaN,11189,11325,11487
