n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
3124.6,3249.2,3407,3559.2,3704.2,3844,3966.4,NaN,4154.5,4296.3,4491.8,NaN,4588.3,4768.6,NaN,4959,5110.8,5304.6,NaN,5403.2,5589.1,NaN,5776.9,5920.9,6254.6,6392.3,6513,6698.6,NaN,6890.7,7035.2,7251,NaN,7334.5,7547.7,7703.1,7845.3,7965.5,NaN,8160.3,8312.1,8500.3,8650.4,8757.4,8939.8,NaN,9136.4,9288.5,9451.8,NaN,9592.2,9801.4,9955.9,10067,10262,NaN,10463,10630,10846,10995,11106,11332,11491,11636,11778,11885,NaN,12079,12237,12436,NaN,12534,12732,NaN,12930,13080
3159.7,3312.2,3477,3631,3782,3919.1,NaN,4112,4258.2,4382.9,NaN,4557.2,4662.3,NaN,4914.1,5062.7,5193.7,NaN,5371.2,5478.9,NaN,5718.3,5856,6013.6,6327.6,6465.9,6604.2,NaN,6843.4,6991,7119.5,NaN,7302.4,7412.2,7615.2,7781.8,7918.3,NaN,8112.2,8260,8397,8580.2,8717.9,8829.7,NaN,9090.1,9231,9371,NaN,9556.8,9678.8,9877.1,10024,10159,NaN,10408,10561,10711,10919,11067,11200,11399,11565,11712,11849,NaN,12034,12175,12325,NaN,12501,12607,NaN,12877,13024,13164
