n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,l,a,b,l,e,n,n,f,a,b,l,e
1517.4,1691.3,1968.1,2158.2,2353,2503.2,2664.3,2812.3,2963.7,3095,NaN,3281.2,3428.8,3640.4,NaN,3719.7,3908.1,NaN,4103.3,4254.4,4486.3,NaN,4571.5,4785.2,5248.8,NaN,5443.8,5592.2,5810.8,NaN,5891.8,6077.8,6225.4,6337.2,6522.1,NaN,6717.9,6868.4,7085.3,7233,7337.8,7524.2,NaN,7720.5,7873.1,8024.3,NaN,8181.2,8382.5,NaN,8578.1,8732,8887.7,NaN,9042.1,9243.6,9403.6,9550.5,9669.2,NaN,9862.5,10017,10211,10368,10474,10661,NaN,10860,11026,11659,11824,11972,12112,12259,NaN,12450,12596,12760,NaN,12911,13123,13265,NaN,13451,13600,14027,14170,14283,14482,NaN,14677,14834
1548.4,1731.3,2003.9,2201.1,2403.8,2560.2,2735.9,2886.9,3041.6,NaN,3235.9,3376.1,3510.1,NaN,3689.3,3787.6,NaN,4054.7,4196.8,4338.5,NaN,4537.1,4641.5,4852.3,NaN,5396.7,5549.7,5682.2,NaN,5863.2,5974.2,6154.2,6300.2,6423.4,NaN,6668.4,6819.5,6953,7164.2,7306.4,7407.5,NaN,7672.1,7826,7957.2,NaN,8144.2,8288,NaN,8532.2,8681.4,8817.3,NaN,9006.2,9130.8,9318.7,9481.1,9627.9,NaN,9819.6,9965.8,10099,10290,10443,10550,NaN,10809,10967,11111,11721,11896,12051,12192,NaN,12405,12560,12682,NaN,12874,13010,13161,NaN,13405,13555,13689,14099,14248,14390,NaN,14633,14781,14918
