n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,n,n,f,a,b,l,e,d,g,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1973.8,2077.1,2278,2433.5,2580,2733.6,2882,3028.1,3162.5,NaN,3346.8,3494.7,3714.9,NaN,3796,3976.8,NaN,4170.1,4324.7,4543.8,NaN,4624,4812.9,NaN,5009.1,5160.5,5385.9,NaN,5468.9,5655.9,NaN,5849.8,6004.1,6162.4,NaN,6310.4,6486.7,6634.9,6746.4,6931.6,NaN,7127.2,7274.9,7436.8,NaN,7593.3,7788.1,7940.6,8045.5,8260.2,8410.8,8541.4,8719.5,NaN,8915.8,9063.3,9223.2,NaN,9471.8,9615.2,9727,9922.5,NaN,10118,10270,10429,NaN,10579,10771,NaN,10971,11126,11381,11548,11660,11854,NaN,12054,12235,12486,12642,12747,12956,NaN,13154,13308,13471,NaN,13628,13869,14019,14132,14334,NaN,14537,14710
2007.4,2155.4,2325.3,2497.4,2655.2,2807.9,2957.7,3105.8,NaN,3297.7,3444.8,3578.3,NaN,3763.5,3870.9,NaN,4112.2,4271.1,4406.3,NaN,4593.8,4694.2,NaN,4960.8,5103.4,5243.1,NaN,5435.6,5546.5,NaN,5800.2,5946.9,6089,NaN,6274.2,6403.9,6562.7,6708.2,6824.1,NaN,7080.2,7222.6,7360.3,NaN,7552.5,7686.6,7865.6,8015.5,8120.1,8329.6,8486.4,8630.6,NaN,8867.9,9013,9150.2,NaN,9336.8,9536.7,9686.2,9805.5,NaN,10067,10216,10355,NaN,10543,10669,NaN,10920,11070,11213,11420,11624,11752,NaN,12008,12129,12314,12566,12714,12824,NaN,13105,13252,13394,NaN,13585,13721,13937,14096,14227,NaN,14487,14635,14792
