n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1846.4,1998.8,2191.3,2352.9,2501.6,2625.2,NaN,2812.2,2956.8,3177.6,NaN,3257.9,3462.2,NaN,3649.4,3798.4,4017.9,NaN,4102.3,4303.4,4452.1,4608.2,4764,4891.6,NaN,5087.2,5238.5,5442.6,NaN,5539.5,5732.1,NaN,5929.2,6083.3,6298.2,6453.5,6559.9,6757.1,NaN,6954.8,7105,7336.8,NaN,7424.2,7617.6,NaN,7814.3,7963.4,8176.8,8331.1,8439.3,8635.5,NaN,8829.1,8978.9,9206.3,NaN,9290.7,9510.2,9664.1,9807.7,9952.3,NaN,10151,10307,10535,NaN,10621,10824,NaN,11022,11185,11346,11594,11766,11928,12121,12271,12423,12539,NaN,12732,12883,13107,NaN,13193,13395,NaN,13594,13747,13908,NaN,14067,14277,NaN,14468,14642,14885,15039,15167,15362,NaN,15565,15722,15959,NaN,16048,16281,16458,16616,16779,16966,17108,17222,NaN,17419,17573,17737,NaN,17900,18102,NaN,18302,18479
1881.6,2056.2,2250.6,2423.2,2574.2,NaN,2763.5,2913.1,3044.8,NaN,3224.8,3333.1,NaN,3604.2,3749.5,3882.6,NaN,4069.3,4176.4,4377.6,4531.6,4687.4,4841.3,NaN,5040,5193.6,5324.3,NaN,5508.8,5616.4,NaN,5881.7,6032.8,6170,6377.8,6528,6632.5,NaN,6909.3,7059.2,7192.2,NaN,7389.8,7503.5,NaN,7766.6,7919.4,8049.3,8256,8405.8,8518.9,NaN,8781.3,8934,9066.4,NaN,9255.7,9364.7,9581.2,9735.8,9880.9,NaN,10106,10262,10396,NaN,10586,10702,NaN,10973,11130,11271,11466,11668,11844,12004,12201,12345,12504,NaN,12677,12838,12971,NaN,13158,13274,NaN,13546,13702,13840,NaN,14029,14167,NaN,14424,14572,14728,14958,15117,15260,NaN,15516,15671,15812,NaN,16013,16129,16351,16532,16696,16854,17045,17187,NaN,17364,17524,17664,NaN,17861,18004,NaN,18256,18414,18564
