n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e
1997.5,2137.5,2294.2,2436.3,2580,2720,NaN,2906.5,3044.2,3257.6,NaN,3333.2,3517.6,NaN,3706.2,3852.6,4073.1,NaN,4155.9,4341.6,NaN,4533.9,4680.4,4877.6,NaN,4974.8,5163.9,NaN,5353.1,5506.3,5698.3,5844.5,5951.5,6141.1,NaN,6334,6484.1,6700.5,6845.5,6951.8,7138.2,NaN,7334.4,7481.5,7675.3,NaN,7789.1,7991.9,NaN,8185.3,8342.7,8592.6,8743.1,8852.6,9040.2,NaN,9238,9390,10057,10200,10346,10490,10606,NaN,10794,10945,11150,NaN,11251,11445,NaN,11640,11791,11962,12194,12267,12493,NaN,12688,12839,12998,NaN,13140,13336,NaN,13532,13686,13943,14095,14203,14399,NaN,14596,14762,14915,NaN,15064,15271,NaN,15468,15621,16023,16161,16272,16468,NaN,16670,16834,16992,NaN,17144,17342,NaN,17539,17695,17863,NaN,18010,18224,18383,18533,18691,18827,NaN,19024,19210
2029.8,2194.6,2364.7,2513.7,2654.3,NaN,2859.9,3003.7,3129.8,NaN,3305.7,3405.7,NaN,3660.8,3808.7,3943.2,NaN,4125.6,4233.9,NaN,4489.5,4638.5,4764,NaN,4945.8,5054.8,NaN,5307.8,5459.8,5592.4,5773.7,5914.4,6053.3,NaN,6289.7,6433.7,6574.4,6777.2,6912.4,7029.9,NaN,7287.1,7440.6,7568.2,NaN,7752.5,7869,NaN,8142.1,8286.2,8429.7,8667.5,8813.5,8953,NaN,9192.4,9341.8,9476.4,10120,10277,10424,10566,NaN,10753,10896,11032,NaN,11218,11329,NaN,11593,11746,11878,12097,12260,12390,NaN,12641,12783,12921,NaN,13105,13235,NaN,13486,13627,13769,14017,14163,14294,NaN,14551,14665,14842,NaN,15027,15162,NaN,15418,15564,15707,16085,16233,16362,NaN,16618,16762,16913,NaN,17106,17235,NaN,17497,17638,17780,NaN,17974,18103,18292,18459,18611,18764,NaN,18980,19116,19292
