n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l
2649.8,2953.5,3100.3,3247.1,3387.9,3532.5,3643.9,NaN,3833.5,3976.6,4187.2,NaN,4266.1,4449.8,NaN,4642.4,4787.4,4999.9,NaN,5081.4,5252.2,5399.5,5503.1,5694.4,NaN,5888.5,6036.4,6236.8,NaN,6333.2,6523.3,NaN,6725,6878,7124.1,7275.5,7377,7563.5,NaN,7759.2,7915.1,8120.3,NaN,8221.9,8423.9,NaN,8624,8781,8986.8,NaN,9082.5,9280.3,NaN,9478.2,9642.9,9867.8,NaN,9953.5,10171,NaN,10371,10531,10696,NaN,10841,11064,NaN,11268,11445,12024,12165,12295,12474,NaN,12676,12833,13052,NaN,13138,13338,NaN,13541
2856.7,3014.4,3167.3,3321.9,3462.8,3605.9,NaN,3786.4,3921.1,4063.4,NaN,4235.1,4337.2,NaN,4595,4743.7,4871.9,NaN,5050.9,5154.5,5326.2,5467.6,5595.7,NaN,5839.1,5991.6,6123.8,NaN,6300.5,6416,NaN,6672,6826.8,6964.7,7198.7,7346.2,7448.6,NaN,7711.4,7861.1,8000.9,NaN,8189.3,8294.5,NaN,8573.5,8714.9,8867.5,NaN,9052,9161.3,NaN,9430.2,9577.6,9733.8,NaN,9918.4,10039,NaN,10323,10463,10618,NaN,10804,10931,NaN,11212,11372,11528,12093,12241,12383,NaN,12629,12780,12926,NaN,13103,13222,NaN,13490,13606
