n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e
1983,2166.4,2301.3,2461.6,2609.8,2757.9,2923.9,3064.9,3221.2,3367.7,3495.3,NaN,3684,3830.6,4048.2,NaN,4127.8,4314.7,NaN,4510.3,4659.5,4842.2,NaN,4956.2,5143.4,NaN,5334.5,5478.1,5684.7,NaN,5779.9,5955.6,6109,6214.8,6407.8,NaN,7184.4,7319.3,7465.8,7593.8,NaN,7786.1,7934.7,8145.1,NaN,8225.3,8416.4,NaN,8609.9,8755.6,8935,9083.8,9189.5,9388.3,NaN,9571.9,9718.5,9936.8,NaN,10015,10207,NaN,10403,10555,10770,NaN,10855,11045,NaN,11241,11395,11686,11833,11937,12167,12313,12466,12616,12718,NaN,12913,13070,13297,13457,13559,13750,NaN,13949,14097,14313,NaN,14393,14589,NaN,14786,14957,15169,NaN,15254,15473,15625,15737,15930,NaN,16131,16284,16442,NaN,16750,16907,17048,17199,17312,NaN,17512,17668,17824,NaN,17974,18228,18400,18544,18687,18820,NaN,19019,19205
2019.3,2218.5,2367.3,2524.9,2680.9,2829.8,2977.1,3132.3,3300.9,3449.8,NaN,3638.4,3787.6,3917.3,NaN,4098.7,4202.5,NaN,4464,4611.8,4746.4,NaN,4925.7,5034.4,NaN,5289.4,5434.7,5562.2,NaN,5749.2,5855.2,6027.8,6178,6290.9,NaN,6540.9,7245,7393.4,7541.3,NaN,7737.9,7873.3,8017.1,NaN,8194.5,8298,NaN,8562.7,8699.2,8839.2,9009.9,9153.6,9281.4,NaN,9529.7,9667.1,9803.2,NaN,9985.8,10086,NaN,10355,10504,10638,NaN,10822,10933,NaN,11195,11345,11476,11761,11902,12012,12238,12390,12544,12688,NaN,12856,13011,13158,13361,13527,13634,NaN,13901,14047,14181,NaN,14364,14472,NaN,14737,14868,15034,NaN,15220,15328,15550,15700,15831,NaN,16082,16221,16368,NaN,16553,16821,16981,17126,17276,NaN,17459,17608,17752,NaN,17935,18067,18292,18475,18622,18764,NaN,18973,19111,19288
