n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1990.4,4107.3,4262.8,4398.3,4551.3,4712.7,4850.5,5003.4,5147.7,5260.5,NaN,5451.6,5592.1,5806.7,NaN,5887,6064.1,NaN,6254.9,6401.5,6609.2,NaN,6688.2,6873,NaN,7061,7207.5,7392.4,7537.8,7642.1,7827.1,NaN,8020.9,8168.8,8383.3,NaN,8465.8,8653,NaN,8842.7,8988.8,9201.6,9346.4,9451.5,9629.4,NaN,9822.8,9967.9,10168,NaN,10271,10458,NaN,10648,10797,11012,NaN,11095,11269,11413,11517,11696,NaN,11888,12049,12212,NaN,12366,12564,NaN,12754,12907,13139,13297,13402,13586,NaN,13774,13919,14140,NaN,14220,14404,NaN,14597,14748,14900,NaN,15050,15245,NaN,15441,15601,15822,15985,16092,16275,NaN,16467,16627
2026.6,4143.7,4313,4452.8,4614.2,4770.8,4921.7,5079.6,5223.2,NaN,5407.8,5555.8,5676.2,NaN,5853.6,5953.8,NaN,6205,6353.4,6481.6,NaN,6657.2,6760.4,NaN,7016.4,7165.8,7288.4,7469.8,7608.8,7710.2,NaN,7971.5,8120.9,8252.8,NaN,8434.4,8535,NaN,8800.6,8937.9,9072.5,9277,9418.7,9525.1,NaN,9775.6,9925,10050,NaN,10236,10347,NaN,10601,10749,10881,NaN,11058,11164,11344,11488,11589,NaN,11839,11991,12137,NaN,12326,12462,NaN,12710,12853,12986,13215,13366,13473,NaN,13731,13868,14004,NaN,14190,14294,NaN,14550,14694,14832,NaN,15015,15144,NaN,15392,15544,15684,15898,16058,16170,NaN,16424,16570,16711
