n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
1969.6,2114.7,2275.5,2429.6,2586.4,2734.2,2871.1,3010.9,3122.1,NaN,3312.2,3454,3666.5,NaN,3748.4,3925.2,NaN,4118.2,4270.6,4464.3,4610.8,4715.3,4900.6,NaN,5096.2,5245.1,5471.8,NaN,5558,5739.9,NaN,5932.2,6082.5,6285.8,NaN,6384.5,6570,NaN,6766.4,6927.7,7145,NaN,7230.3,7410.7,NaN,7608.8,7764
2018.5,2167.9,2334,2492.8,2650.1,2813.1,2946.8,3085.6,NaN,3260.7,3413.5,3538.8,NaN,3718.4,3825.3,NaN,4072.1,4227.8,4356.3,4543.6,4685.1,4794.9,NaN,5050.9,5199.4,5330.8,NaN,5523.4,5637.1,NaN,5887.2,6037.4,6167.8,NaN,6353.7,6462.9,NaN,6720.9,6875.3,7012.6,NaN,7198.1,7309.2,NaN,7557.2,7709.2,7849.9
