n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
3633.3,3889.4,4040.3,4188.1,4330.1,4473.6,4582.8,NaN,4771,4914.4,5121.2,NaN,5198.4,5389.9,NaN,5579.4,5720.4,5919.9,NaN,6011.3,6195.5,NaN,6383.5,6530,6747.1,NaN,6828,7014.4,NaN,7205.6,7352.6,7558.2,NaN,7652.7,7833.8,8110.8,8345.9,8484.2,8594.4,NaN,8785,8929,9137,NaN,9219.2,9401.9,NaN,9595.7,9743.5,9959.3,NaN,10037,10241,NaN,10434,10582,10788,10929,11030,11216,NaN,11409,11558,11758,NaN,11854,12050,NaN,12243,12398,12683,12826,12932,13119,NaN,13312,13464,14023,14159,14308,14416,NaN,14609,14756,14970,NaN,15050,15236,NaN,15432,15588,15801,NaN,15885,16083,NaN,16280,16440,16839,16978,17086,17268,NaN,17463,17613,17828,NaN,17913,18101,NaN,18295,18459
3756.9,3949.6,4114.3,4263,4403.2,4549.1,NaN,4714.9,4872.2,4997.7,NaN,5169.5,5272,NaN,5535.2,5682.6,5802.8,NaN,5982.1,6093.5,NaN,6339.8,6492,6617.4,NaN,6799.7,6902.6,NaN,7154.9,7304.6,7436.1,NaN,7621.2,7763.8,8005.7,8269.4,8420.6,8556.2,NaN,8739.7,8872.3,9015.2,NaN,9183.7,9287.8,NaN,9545,9682.4,9825.1,NaN,10007,10108,NaN,10383,10529,10667,10857,10998,11103,NaN,11361,11503,11638,NaN,11820,11925,NaN,12191,12338,12475,12756,12896,13002,NaN,13266,13404,13545,14082,14235,14381,NaN,14550,14708,14832,NaN,15017,15121,NaN,15382,15534,15669,NaN,15852,15955,NaN,16234,16366,16524,16906,17052,17157,NaN,17417,17554,17694,NaN,17880,17986,NaN,18246,18390,18535
