n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2099.5,2260.8,2417.9,2563.6,2701.4,2857.9,3004.8,3147.4,3259.9,NaN,3447.4,3593.9,3805.6,NaN,3883.2,4065.9,NaN,4258.6,4407.7,4616.2,NaN,4695.1,4893.8,NaN,5083.1,5231.4,5448.5,NaN,5532.4,5719.7,NaN,5913.7,6060.7,6259.5,6410.7,6513.8,6698.7,NaN,6891.9,7040.8,7243.7,NaN,7342.6,7533.3,NaN,7725.3,7882,8092.5,8242.4,8346.9,8533.9,NaN,8728.9,8882.5,9077.3,9226.7,9329.7,9514.8,NaN,9705.4,9853.5,10008,NaN,10156,10351,10508,10656,10773,NaN,10970,11126,11281,NaN,11443,11647,NaN,11842,11998,12255,12417,12519,12704,NaN,12900,13059,13260,NaN,13365,13578,13729,13854,14057,NaN,14254,14410
2147.1,2317.3,2469.3,2620.7,2762.9,2933.4,3082,3223.9,NaN,3403.4,3550.7,3673.3,NaN,3854.3,3955.7,NaN,4213.4,4358.8,4492.1,NaN,4667,4772.7,NaN,5039.2,5184.2,5313.1,NaN,5496.9,5604.5,NaN,5865.6,6015.6,6144,6336,6482.8,6589.1,NaN,6844.8,6997.5,7124.8,NaN,7307.3,7420.1,NaN,7679.3,7831.6,7967.2,8169.2,8313.6,8425.5,NaN,8676.4,8832.8,8965.1,9152.3,9291.7,9399.8,NaN,9660.2,9811.7,9933.6,NaN,10119,10262,10425,10581,10736,NaN,10922,11073,11212,NaN,11399,11535,NaN,11796,11948,12085,12296,12486,12596,NaN,12856,13005,13144,NaN,13330,13452,13656,13807,13946,NaN,14203,14359,14495
