n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l
1988.8,2150.8,2298.4,2441.3,2574,2709.6,2813.8,NaN,3000.6,3140.3,3346.4,NaN,3427.2,3605.2,NaN,3792.7,3934.3,4144.1,NaN,4224.6,4404.2,NaN,4592.9,4736.6,4948.7,NaN,5029.9,5208,NaN,5396.1,5539.8,5694.8,NaN,5832.5,6000.1,6147.4,6252.6,6426.3,NaN,6616.3,6761.7,6974.2,NaN,7062,7243.2,NaN,7434,7579.5,7789.7,NaN,7873.1,8059.6,NaN,8248.7,8398.5,8612.2,NaN,8700.3,8882.6,NaN,9077,9226.5,9444.1,NaN,9528.8,9715.2,NaN,9909,10058,10251,10402,10513,10703,10851,10960,11143,NaN,11338,11487,11641,NaN,11793,11979,NaN,12173,12324,12553,NaN,12636,12843,NaN,13038,13189,13443,13583,13687,13877,NaN,14075,14226,14382,NaN,14543,14736,NaN,14931
2019.8,2200.9,2371,2515.9,2650.1,2783.6,NaN,2948.6,3101.5,3224.2,NaN,3393.3,3499.8,NaN,3749.7,3890.3,4013.7,NaN,4189.9,4294,NaN,4547.1,4683.1,4819.6,NaN,4999.6,5090.1,NaN,5351,5484.4,5619.8,NaN,5796.3,5921.1,6073.3,6220.1,6321.2,NaN,6569.2,6713.9,6842.6,NaN,7024.7,7129.7,NaN,7387.5,7536.7,7662.5,NaN,7839.8,7944,NaN,8205.3,8351.6,8480.4,NaN,8666,8771.1,NaN,9031.5,9182,9307.6,NaN,9492.2,9599.5,NaN,9862.1,10012,10140,10326,10479,10583,10775,10928,11032,NaN,11290,11436,11571,NaN,11756,11883,NaN,12125,12281,12409,NaN,12604,12711,NaN,12991,13146,13275,13517,13652,13782,NaN,14029,14172,14311,NaN,14497,14635,NaN,14886,15009
