n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,n,f,a,b,l,e,d,g,f,a,b
10934,11099,11254,11403,11685,11826,11968,12112,12224,NaN,12406,12544,12753,NaN,12830,13019,NaN,13209,13349,13549,NaN,13643,13828,NaN,14018,14163,14367,NaN,14455,14648,14797,14941,15068,NaN,15259,15403,15603,NaN,15692,15877,NaN,16069,16216,16440,16589,16690,16873,NaN,17063,17217,17433,NaN,17512,17700,NaN,17891,18043,18411,18556,18829,18975,19119,19246,19415,NaN,19607,19756,19958,NaN,20050,20247,NaN
10965,11145,11317,11600,11756,11900,12044,12183,NaN,12351,12504,12626,NaN,12799,12897,NaN,13161,13303,13429,NaN,13606,13723,NaN,13972,14114,14247,NaN,14423,14525,14719,14870,15017,NaN,15215,15359,15486,NaN,15662,15772,NaN,16024,16170,16302,16516,16658,16762,NaN,17016,17165,17302,NaN,17479,17591,NaN,17848,17994,18128,18487,18635,18898,19051,19196,19335,NaN,19563,19710,19839,NaN,20019,20124,NaN,20382
