n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,f,a,b,l,e
1986.8,2127.1,2270.7,2423,2566.2,2714,2852,2978.3,NaN,3163.6,3303.3,3512.8,NaN,3590.7,3773.6,NaN,3962.6,4108.6,4300,4439.8,4538.7,4720.9,NaN,4912.2,5062.2,5251.4,NaN,5359.1,5531.3,5680.8,5791.2,5979.5,NaN,6170.9,6316.6,6519.8,NaN,6616.6,6807.9,NaN,7002.7,7155.7,7416.9,7563.5,7672.2,7855.8,NaN,8048.6,8205.6,8482.9,8629.2,8736.5,8955.9,NaN,9144.4,9293.2,9514,NaN,9597.7,9783.2,NaN,9981.1,10142,10304,NaN,10467,10670,NaN,10867,11014,11243,NaN,11328,11593,11746,11886,12009,NaN,12203,12355,12506,12739,12896,13008,13203,NaN,13399,13561,13776,13928,14032,14218,NaN,14413,14583,14849,14984,15109,NaN,15305,15458,15679,NaN,15764,15961,NaN,16170,16324,16485,16782,16961,17118,17238,17437,NaN,17632,17796
2031.3,2176.7,2331.9,2489.7,2642.2,2788,2925.2,NaN,3120.6,3263.2,3388.7,NaN,3563,3667.8,NaN,3918.3,4062.7,4192.8,4375,4507.9,4618.5,NaN,4867.4,5018.2,5146.6,NaN,5327.2,5437.3,5611.6,5756.3,5863.9,NaN,6126.5,6273.7,6401.8,NaN,6583.5,6689.7,NaN,6957.1,7105.2,7235.7,7484.2,7637.1,7776.9,NaN,8004.9,8156.2,8291.7,8558.9,8701,8822.3,NaN,9099.5,9248.2,9381.6,NaN,9566.7,9677.2,NaN,9932.8,10085,10225,NaN,10421,10557,NaN,10820,10970,11100,NaN,11294,11409,11657,11826,11964,NaN,12156,12306,12441,12624,12813,12971,13104,NaN,13356,13484,13644,13846,14006,14113,NaN,14369,14515,14666,14912,15063,NaN,15259,15410,15544,NaN,15734,15844,NaN,16112,16273,16407,16603,16829,17036,17195,17329,NaN,17587,17737,17882
