n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1991.7,2162.6,2327.3,2479.2,2626.3,2773.5,2917.1,3028.9,NaN,3219.3,3364.1,3550.9,NaN,3653.2,3838.3,NaN,4027.4,4172.4,4375.2,NaN,4472.4,4649.8,4803.7,4908.7,5108.2,NaN,5301.9,5469.9,5651.3,5807.8,5913.6,6097.8,NaN,6298.7,6446.1,6600.1,NaN,6760.4,6978.8,7125.4,7271.4,7411.5,NaN,7604.9,7764.2,7975.1,NaN,8084,8275.5,NaN,8472.2,8628.7
2029,2210.2,2371.4,2542.3,2699.5,2847.6,2993.8,NaN,3176.4,3319.3,3446.6,NaN,3622.8,3727.4,NaN,3981.7,4128.3,4275.8,NaN,4440.7,4549.9,4726.7,4877.4,4989.8,NaN,5263.2,5390.6,5566.2,5731.3,5888.2,6007.9,NaN,6257.9,6399.6,6554.6,NaN,6718.2,6853.2,7046.5,7202.6,7349,NaN,7563.3,7706.5,7847.6,NaN,8049.4,8159.4,NaN,8427.7,8577.4,8712.4
