n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l
2354.6,2471.8,2611.6,3544.3,3720.8,4069.6,4206.5,4358.3,4501.9,4642.1,4783.5,4884.8,NaN,5069.2,5210,5416.1,NaN,5490.5,5675.4,NaN,5865,6008.4,6217.6,NaN,6296.5,6498.4,NaN,6680.9,6825,7038.8,NaN,7116.3,7313.8,NaN,7503.5,7652.1,7862.8,NaN,7945.6,8136.1,NaN,8326.3,8472.2,8645.9,8793.7,8900.6,9082.3,NaN,9274.2,9417.4,9634.5,NaN,9716.3,9939.2,10088,10235,10378,10487,NaN,10670,10818,11042,NaN,11120,11316,NaN,11511,11662,11941,12075,12180,12369,NaN,12562,12720,12944,NaN,13025,13248,13393,13525,13719,NaN,13914,14064,14285,NaN,14367,14582,NaN,14779,14933,15182,15331,15440,15623,NaN,15822,15976,16395,16538,16683,16829,16937,NaN,17131,17275,17493,NaN,17577,17782,NaN,17979,18132,18347,NaN,18440,18634,NaN,18834,19004,19475,19615,19761,19915,20055,20160,NaN,20355,20511,20722,NaN,20806,21000,NaN,21206,21362,21973,22115,22264,22397,NaN,22593,22748,22973,NaN,23058,23264,NaN,23464,23628,23866,NaN,23948,24166,24323,24454,24642,NaN,24842,24995,25216,NaN,25301,25516,NaN,25713,25875,26077,26228,26334,26536,NaN,26740
2432.1,2548.9,2754.1,3656.7,3980.4,4127.3,4278.2,4428.1,4573.8,4714.2,4852.8,NaN,5016.5,5167.8,5293,NaN,5462.2,5558.1,NaN,5818.5,5955.8,6091.1,NaN,6267,6364.5,NaN,6631.8,6775,6906.7,NaN,7086.4,7187.8,NaN,7457.3,7596.4,7733.6,NaN,7911.3,8016.9,NaN,8279.6,8419.6,8556.9,8717.2,8863.9,8990.6,NaN,9228.3,9371.3,9498.6,NaN,9683.6,9785.6,10003,10163,10308,10448,NaN,10625,10765,10901,NaN,11090,11191,NaN,11459,11612,11745,12012,12148,12252,NaN,12514,12664,12805,NaN,12994,13099,13314,13468,13618,NaN,13867,14005,14145,NaN,14335,14443,NaN,14732,14874,15020,15256,15403,15532,NaN,15775,15917,16058,16463,16619,16762,16907,NaN,17073,17228,17364,NaN,17540,17650,NaN,17931,18080,18213,NaN,18411,18513,NaN,18784,18936,19088,19539,19694,19837,19989,20129,NaN,20296,20449,20597,NaN,20776,20884,NaN,21153,21308,21446,22036,22190,22337,NaN,22548,22695,22835,NaN,23023,23143,NaN,23414,23565,23713,NaN,23918,24027,24236,24402,24546,NaN,24789,24944,25078,NaN,25266,25386,NaN,25666,25817,25959,26155,26299,26408,NaN,26685,26810
