n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1835.6,1976.1,2143.5,2316.7,2509.1,2690.2,2852.2,3005.2,3156.8,3310.5,3426,NaN,3610.1,3758.9,3974.2,NaN,4059.2,4243,NaN,4437.3,4590.4,4808.7,NaN,4888.7,5081,NaN,5276.8,5426.9,5584.7,NaN,5734.1,5925.3,NaN,6121,6278.6,6505.2,NaN,6588.6,6775.9,NaN,6973.5,7125.8,7357.8,NaN,7442.8,7637.2,NaN,7834.9,7984.2,8215.4,NaN,8298.4,8508.4,NaN,8697.6,8851.7,9043.4,9194.6,9303.1,9497.5,NaN,9695.2,9849.8,10079,NaN,10162,10355,NaN,10553,10716,10907,11063,11173,11371,NaN,11569,11719,11931,NaN,12032,12255,12415,12534,12722,NaN,12923,13079,13303,NaN,13388,13588,NaN,13788,13960,14181,14343,14455,14665,NaN,14867,15034,15217,NaN,15375,15599,15763,15918,16075,16200,NaN,16403,16574,16801,NaN,16889,17093,NaN,17292,17474,17720,17877,17989,18191,NaN,18394,18557
1870,2018.9,2193.7,2364.4,2564.2,2750.5,2925.7,3075.7,3229.3,3382.1,NaN,3549.9,3710.6,3840.9,NaN,4022.3,4126.4,NaN,4388.9,4535.4,4672.1,NaN,4856.3,4964.1,NaN,5221.6,5379.7,5510.7,NaN,5694.3,5827.4,NaN,6067.3,6223.1,6361.9,NaN,6553.5,6664.9,NaN,6917.9,7071.5,7213.4,NaN,7408.4,7517.1,NaN,7779.1,7937.8,8068,NaN,8264.7,8371.1,NaN,8642.2,8804.5,8935.4,9123,9267.3,9380.6,NaN,9645.4,9794.3,9936.6,NaN,10128,10240,NaN,10504,10652,10801,10985,11135,11264,NaN,11517,11672,11803,NaN,11996,12106,12329,12488,12627,NaN,12871,13027,13166,NaN,13356,13466,NaN,13736,13893,14044,14266,14420,14530,NaN,14817,14972,15124,NaN,15335,15469,15670,15838,15994,16157,NaN,16354,16508,16657,NaN,16854,16965,NaN,17237,17387,17556,17799,17951,18083,NaN,18344,18494,18643
