n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1964.2,2101.5,2254.7,2415,2561.5,2715.2,2863.5,2982.8,NaN,3173.6,3312.4,3525.1,NaN,3608.1,3789.3,NaN,3981.9,4129.6,4326.1,NaN,4426,4614.7,4769.8,4872.2,5057,NaN,5250,5395.7,5592.1,NaN,5698.4,5898.2,NaN,6092.6,6242.9,6411.7,6562.4,6670.9,6861.2,NaN,7054.2,7202,7407,7555.2,7663.2,7848.2,NaN,8040.1,8190.4,8414.4,NaN,8498.1,8691.8,NaN,8891.7,9042.7,9303.7,9447.7,9551.6,9737.5,NaN,9931.8,10077,10294,NaN,10378,10560,10710,10824,11009,NaN,11205,11359,11582,NaN,11669,11884,12030,12151,12340,NaN,12535,12683,12905,NaN,12989,13178,NaN,13376,13536
2003.8,2160.6,2313.2,2473.6,2628.8,2790.8,2935.9,NaN,3128.8,3273.2,3396.7,NaN,3572.4,3682.4,NaN,3933.7,4081.8,4214.5,NaN,4394.4,4502.5,4690.2,4841.3,4948.7,NaN,5206.1,5351.8,5481.2,NaN,5664.7,5775.2,NaN,6046.9,6194.7,6333,6490.3,6636.9,6748,NaN,7007.8,7157.1,7300.4,7482.6,7625.3,7763.8,NaN,7996.4,8148,8277.6,NaN,8466.6,8578.3,NaN,8844.9,8997,9130,9375.2,9520.2,9629.5,NaN,9885.8,10031,10163,NaN,10346,10451,10636,10787,10912,NaN,11161,11310,11445,NaN,11636,11749,11954,12107,12244,NaN,12490,12639,12768,NaN,12956,13067,NaN,13328,13471,13624
