n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n
2137.2,2599.1,2771.3,2936.5,3093.9,3249.1,3391.3,3541.4,3673.9,NaN,3858.6,4007.1,4221.6,NaN,4304.9,4503.4,NaN,4692,4842,5061.5,NaN,5145.8,5347.4,NaN,5542.9,5697,5883.8,6035.1,6143.2,6324.4,NaN,6518.2,6673.6,6831,NaN,6985.9,7174.5,NaN,7373.8,7533.1,7755.7,NaN,7838.3,8021.3,8176.4,8296.4,8503.1,NaN,8695.9,8851.8,9017.5,NaN,9170,9380.7,9536.4,9686.5,9841.7,9990.3,NaN,10179,10330,10495,NaN,10741,10900,11022,11221,NaN,11423,11577,11836,11994,12139,12329,NaN,12528,12693,12854,NaN,13024,13238,13409,13526,13728,NaN,13929,14091,14324
2175.5,2635.8,2809.8,2999.1,3164.9,3321.6,3466.6,3616.2,NaN,3811.5,3953.9,4091.2,NaN,4271,4378.4,NaN,4636.9,4796.1,4927.2,NaN,5110.8,5218.8,NaN,5488.6,5641.3,5781.6,5965.8,6106.4,6212.6,NaN,6472.5,6619.5,6758.8,NaN,6944.5,7069.7,NaN,7321.7,7476,7615.7,NaN,7807.4,7908.4,8095.6,8252.6,8376.9,NaN,8646.2,8793.9,8937.6,NaN,9128.7,9260.6,9452.8,9610.7,9765.6,9919.8,NaN,10131,10281,10415,NaN,10610,10811,10978,11117,NaN,11372,11516,11659,11883,12069,12233,NaN,12480,12634,12781,NaN,12975,13124,13315,13485,13620,NaN,13880,14030,14174,14374
