n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
3639.1,3807.5,3985.9,4155.2,4317.6,4465.3,4610,4762.9,4878.6,NaN,5061.9,5201.9,5409.5,NaN,5488.8,5683,NaN,5869.2,6013.4,6229.3,NaN,6311.4,6501.2,NaN,6690.1,6833,7048.9,NaN,7127.1,7318.1,NaN,7507.5,7652.4,7829.2,7978.8,8081.8,8261.4,NaN,8453.8,8598,8810.8,NaN,8891.6,9092.5,9248,9392.1,9510.5,NaN,9699,9847.5,10021,10168,10270,10456,NaN,10646,10793,11006,NaN,11086,11269,NaN,11461,11610,11896,12040,12145,12326,NaN,12518,12663,12869,NaN,12966,13163,NaN,13355,13507,13725,NaN,13818,14011,NaN,14213,14328
3674.8,3857.5,4029.9,4215.5,4382.4,4541.8,4685.8,4836.6,NaN,5020.2,5161.7,5286,NaN,5459.2,5565.4,NaN,5826.2,5972.2,6099.5,NaN,6277.2,6389.5,NaN,6645.7,6794,6917.3,NaN,7094.8,7207.1,NaN,7462.6,7609,7733.4,7906.6,8046.9,8158.1,NaN,8408.8,8555,8681.2,NaN,8859.4,8969.7,9164.8,9321.3,9464.9,NaN,9654.2,9806.7,9931,10101,10240,10350,NaN,10605,10749,10877,NaN,11056,11164,NaN,11419,11566,11694,11977,12110,12225,NaN,12472,12621,12749,NaN,12930,13045,NaN,13311,13465,13594,NaN,13788,13898,NaN,14158,14295,14471
