n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1978.1,2146.2,2294.2,2453,2589.4,2745.7,2894.7,3025.3,NaN,3213.6,3360.7,3570.1,NaN,3649.5,3835.8,NaN,4029.3,4176.9
2032.2,2194.3,2353.7,2503.4,2652,2816.6,2968.8,NaN,3166.3,3298.7,3437.3,NaN,3616.3,3716.4,NaN,3982.5,4114.3,4257.7
