n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1988.5,2180.4,2390.9,2540.9,2702.6,2866.8,3015.3,3163.4,3274,NaN,3467.9,3610.8,3827.3,NaN,3909.7,4093.4,NaN,4289.1,4438,4646.8,NaN,4742.3,4914.9,5070.1,5173.4,5354.2,NaN,5550,5698.2,5903.9,NaN,5998.2,6193.8,NaN,6387.4,6540.5,6748.8,NaN,6846.7,7048.7,NaN,7248,7399.7,7593.1,7753.7,7861.2,8050.4,NaN,8246.8,8397.7,8615.6,NaN,8719.5,8920.6,NaN,9118.8,9272.1,9429.2,NaN,9582.8,9772.9,9925.4,10033,10223,NaN,10423,10578,10790,NaN,10885,11086,NaN,11284,11437,11675,11825,11933,12105,NaN,12301,12480,12699,NaN,12782,12968,13127,13247,13448,NaN,13646,13809,13976,NaN,14127,14330,NaN,14529,14690,14941,15098,15209,15414,NaN,15613,15771
2020.6,2228.7,2424.8,2599.7,2777.7,2942.2,3093.8,3237.9,NaN,3423.2,3568.9,3697.7,NaN,3879.4,3986.3,NaN,4243.9,4392.2,4521.7,NaN,4711.3,4820.9,4994.5,5140.4,5257.4,NaN,5504.6,5653.3,5782.1,NaN,5969.8,6073.7,NaN,6340.9,6495.7,6628.5,NaN,6811.3,6922.8,NaN,7201.2,7352.3,7485,7675.3,7821.6,7945.9,NaN,8200.2,8353.3,8484.2,NaN,8684.5,8797.9,NaN,9072.7,9222.6,9360.6,NaN,9546.3,9682.2,9848.5,9999.6,10116,NaN,10378,10526,10663,NaN,10854,10972,NaN,11239,11388,11522,11753,11899,12016,NaN,12274,12423,12562,NaN,12748,12858,13045,13205,13341,NaN,13598,13752,13893,NaN,14091,14218,NaN,14482,14625,14776,15003,15170,15283,NaN,15567,15710,15855
