n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n
2330.2,2472.1,2639.8,2784.5,2932.9,3083.7,3228.8,3369.4,NaN,3556.7,3701.1,3919.4,NaN,3997.8,4187.2,NaN,4381,4533.9,4690.2,NaN,4860,5106
2366.1,2525,2679.2,2839.4,3003.5,3156.2,3303.3,NaN,3503.6,3653.6,3782.5,NaN,3966.9,4068.9,NaN,4332.2,4476.4,4617.9,NaN,4804.3,4951.3,5164.1
