n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
2125.5,2310.2,2472.6,2656.7,2825.2,2979.4,3125.2,3240.1,NaN,3428.9,3575.6,3792.8,NaN,3875.5,4061.5,NaN,4256,4407.4,4608.3,NaN,4707.6,4893.2,NaN,5093.2,5243.6,5453.8,5608.8,5715.6,5919.7,NaN,6115.9,6272.4,6458,6615,6723.5,6914.8,NaN,7108.8,7258,7461.4,NaN,7565,7762.5,NaN,7960,8114.7,8318,NaN,8424.1,8644,8808.2,8925.9,9155.2,9319.1,9473.4,9615.8,NaN,9812.5,9977,10182,NaN,10284,10482,NaN,10678,10846,11115,11584,11726,11886,12049,12205,12319,NaN,12518,12673,12890,NaN,12973,13170,NaN,13364,13535,13721,NaN,13873,14077,NaN,14278,14454
2166,2356.5,2526.6,2713.7,2899.2,3053.2,3201.3,NaN,3382.8,3531.5,3660.2,NaN,3844.9,3947.9,NaN,4208.8,4357.4,4492.5,NaN,4673.5,4783.1,NaN,5042.6,5200,5326.6,5534.5,5686.5,5796.5,NaN,6065.5,6219.3,6357.7,6535.8,6691.4,6799.9,NaN,7063.6,7211.7,7343.9,NaN,7528.4,7643.1,NaN,7911.2,8062.9,8202.9,NaN,8390.7,8501.1,8723.4,8885.5,9017.8,9220.6,9394.1,9555,NaN,9765.5,9920.8,10063,NaN,10249,10363,NaN,10633,10779,10933,11157,11649,11805,11961,12129,12287,NaN,12461,12622,12759,NaN,12942,13054,NaN,13315,13474,13619,NaN,13838,13974,NaN,14227,14376,14538
