n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n
4211.6,4656.5,4809.1,4938,5094.2,5245,5386.7,5490,NaN,5688.8,5832.7,6039.3,NaN,6121.2,6305.5,NaN,6503.8,6649.7,6869.2,NaN,6949.1,7125.3,7280.8,7385.1,7574.6,NaN,7759.4,7908.8,8127.7,8277.2,8382.2,8587.6,NaN,8782.2,8942.2,9157.6,NaN,9242.1,9433.4,NaN,9633,9784.2,10015,NaN,10097,10287,NaN,10484,10648,11184,11317,11464,11610,11724,NaN,11918,12065,12290,NaN,12370,12565,NaN,12762,12912,13121,13272,13376,13575,NaN,13777,13929,14131,NaN,14238,14452,NaN,14650,14823,15044,NaN,15127,15323,15479,15594,15785,NaN,15994,16170,16369
4251.3,4704.4,4865,5014.5,5171.6,5317.9,5457.5,NaN,5626.8,5775.6,5911.4,NaN,6088.2,6190.4,NaN,6450.3,6596.3,6731.4,NaN,6919.7,7020,7198.9,7354.2,7459.5,NaN,7711.6,7842,7991.6,8202,8345.9,8472,NaN,8736.2,8878.1,9024.1,NaN,9207.1,9310.1,NaN,9582.7,9727.5,9869,NaN,10064,10173,NaN,10434,10588,10706,11244,11398,11541,11689,NaN,11862,12024,12151,NaN,12341,12450,NaN,12714,12867,12999,13197,13345,13459,NaN,13726,13882,14017,NaN,14205,14320,NaN,14605,14754,14911,NaN,15097,15207,15399,15554,15685,NaN,15939,16093,16257,16440
