n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e
4818.2,4948.5,5091.2,5237.3,5375.7,5518.8,5627.8,NaN,5810.2,5948,6156.6,NaN,6233.6,6415,NaN,6603.1,6745.6,6955,NaN,7033.5,7220.9,NaN,7410.7,7550.9,7765.2,NaN,7844.2,8031.6,NaN,8222.8,8370.7,8551.1,NaN,8672.2,8861.1,9008.8,9114.8,9298.1,NaN,9487.2,9633.1,9834.1,NaN,9931.4,10115,NaN,10308,10453,10652,NaN,10748,10954,11098,11212,11398,NaN,11588,11739,11974,12118,12219,12409,NaN,12605,12761
4856.2,5008.8,5163.8,5308,5455,5590.2,NaN,5757.5,5908.6,6030.5,NaN,6205.2,6307.8,NaN,6558.4,6703.3,6830.6,NaN,7009.4,7101.3,NaN,7362.7,7503.7,7635.1,NaN,7812.8,7916,NaN,8173.7,8309.9,8455.2,NaN,8637.1,8761.5,8933.6,9083.6,9185.6,NaN,9441.6,9580.3,9715.2,NaN,9897.4,9997.6,NaN,10258,10407,10538,NaN,10715,10819,11023,11175,11304,NaN,11543,11684,11822,12048,12187,12293,NaN,12556,12708,12844
