n,n,n,n,n,n,n,a,b,l,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,l,a,b,l,e,d,g,f,a,b,l,e
2548.8,2791.8,2951.2,3089.8,3237.8,3386.7,3522.9,3625.1,NaN,3813.8,4155.1,4295.8,4405.4,4574,NaN,4761.6,4903.2,5094.1,NaN,5193.3,5376.1,NaN,5564.9,5712.2,5912.1,NaN,6007.8,6173.3,6326.3,6432.1,6611,NaN,6803,6944.2,7097.4,NaN,7249.1,7443.2,7594.2,7709.2,7899.2,NaN,8090.3,8241,8393.5,NaN,8543.6,8754,NaN,8941.5,9093.3,9277.1,9423.6,9533.6,9737,9913.9,NaN,10095,10260,10488,NaN,10572,10762,NaN,10959,11114
2646.8,2846.1,3003.1,3152.3,3313.5,3467.5,3598.9,NaN,3760.4,3903.1,4225.2,4368.1,4480.2,NaN,4718.6,4861.7,4989.1,NaN,5160.5,5275.6,NaN,5521.8,5670.5,5795.1,NaN,5972.9,6084,6252.7,6394.8,6535.4,NaN,6759.7,6905.1,7030.2,NaN,7211.2,7344.4,7517.9,7663.3,7810.5,NaN,8044.1,8194,8326.2,NaN,8508.5,8630,NaN,8893.1,9026.1,9174.2,9357.1,9497.8,9612.4,9783.5,NaN,10050,10195,10344,NaN,10540,10649,NaN,10915,11069,11199
