n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,n,n,n,n,n,a,b,l,e,d,g,f
2178.2,2342.6,2494.5,2633.9,2777.2,2904.9,NaN,3090.8,3230.6,3441,NaN,3523.6,3715,NaN,3906.3,4053.4,4246.5,NaN,4347.3,4537.7,NaN,4730.5,4880,5099,NaN,5179.5,5364.7,5517.2,5629.6,5836.6,5991.5,6136.6,6255.5,NaN,6444.1,6597.2,6961.8,7104.3,7214.9,7408.4,NaN,7600.8,7757.6,7964.9,8108.5,8212.7,8435,8594.8,8723.5,8894.7,NaN,9089.3,9260.9,9462.1,9787.6,9985.9,10131,10269,10387,NaN,10576,10730,10884,NaN,11029
2223.7,2400.2,2565.1,2715.6,2856.4,NaN,3047.6,3192.1,3316.8,NaN,3493.1,3600.8,NaN,3861.9,4006.7,4141.2,NaN,4314.2,4426.7,NaN,4684.5,4834.1,4963.6,NaN,5150.2,5263.5,5439.6,5588.6,5702,5906.4,6068.3,6214.5,NaN,6402.4,6548.3,6683.2,7032.3,7178.8,7297.1,NaN,7555.4,7702.1,7845.1,8038.8,8181.1,8296.4,8508.6,8672.5,8815.4,NaN,9046.3,9190.6,9345.3,9534.2,9869.2,10056,10205,10348,NaN,10533,10671,10813,NaN,10994,11124
