n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f
2111.8,2280.5,2438,2606.1,2767.1,2934.3,3082.6,3230.7,3340.2,NaN,3531.9,3677.1,3891.3,NaN,3972,4159.8,NaN,4354.2,4506.3,4720.8,NaN,4802.3,5019.4,5175.1,5285.9,5479.7,NaN,5669.7,5814.5,6038.6,NaN,6119.8,6316.6,NaN,6520,6668.9,6890.8,NaN,6973.8,7202.3,7350.4,7463.3,7650.2,NaN,7847.6,8001.7,8162.6,NaN,8320
2166.3,2329.3,2500.4,2664.9,2815.9,2999.5,3156,3303.5,NaN,3484.9,3627.6,3762.4,NaN,3940,4039.2,NaN,4307.3,4444.2,4587,NaN,4769.2,4874.2,5089.3,5249.6,5373.8,NaN,5615.7,5766.7,5897.5,NaN,6088.3,6189.6,NaN,6461.8,6604.4,6750.5,NaN,6940.5,7046.6,7266.6,7425.3,7553.3,NaN,7800,7939.7,8085,NaN,8272.2,8414.4
