n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
2474.9,2628.4,3155.8,3300.4,3449.1,3591.7,3736,3867.4,NaN,4052.4,4198.2,4404.2,NaN,4481.6,4664.8,NaN,4859.7,5007.3,5220.2,NaN,5301.8,5483.4,5630.5,5732.4,5914.2,NaN,6107,6257.1,6471.1,NaN,6553.7,6733.6,NaN,6928.3,7080.1,7246.9,NaN,7395.2,7583.2,NaN,7776.8,7923.4,8081,NaN,8226.8,8424,8571.1,8682.3,8866.3,NaN,9060.9,9212.9,9375,NaN,9523.8,9711.3,NaN,9905.9,10055,10272,10420,10525,10715,NaN,10909,11062,11216,NaN,11360,11546,NaN,11746,11897,12136,12283,12394,12581,NaN,12779,12933,13095,NaN,13243,13438,NaN,13639,13799,14045,14196,14310,14511,NaN,14707,14870
2511.7,2681.9,3212.6,3370.8,3522.2,3668.5,3811.4,NaN,4009.5,4135.4,4277.3,NaN,4451.4,4552.1,NaN,4810,4947.5,5090.1,NaN,5270.2,5373.1,5555.3,5701,5803.4,NaN,6059.3,6192.7,6337.5,NaN,6519.6,6623.7,NaN,6881.7,7017.4,7159.4,NaN,7356.1,7485.6,NaN,7728.5,7870.1,8005.4,NaN,8191,8316.9,8500.2,8643.5,8772.9,NaN,9015.7,9147.4,9299.1,NaN,9485.2,9615.4,NaN,9855.9,9999.8,10136,10346,10489,10620,NaN,10864,10997,11142,NaN,11324,11453,NaN,11698,11834,11982,12213,12357,12488,NaN,12733,12874,13014,NaN,13207,13331,NaN,13592,13728,13881,14119,14272,14409,NaN,14661,14800,14950
