n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1988.3,2167.7,2366.7,2705.3,2851.7,3000,3159.4,3312.9,3468.7,3617.6,3763.9,3884.5,NaN,4070.9,4219.1,4427.2,NaN,4511.2,4705.8,NaN,4891.6,5043.6,5256,NaN,5336,5519.9,NaN,5711.3,5863.7,6080.9,NaN,6162.4,6342.2,6492.2,6600.8,6783.7,NaN,6978.5,7128.1,7345.4,NaN,7426.2,7614.7,NaN,7808.8,7962.1,8137.6,8284.8,8394.2,8581.3,NaN,8771.7,8918.6,9136.9,NaN,9216.8,9406.4,NaN,9602.7,9755.2,9976.3,NaN,10058,10263,10414,10530,10711,NaN,10905,11062,11282,NaN,11366,11570,11720,11830,12036,NaN,12225,12380,12604,NaN,12688,12908,13062,13182,13375,NaN,13576,13729,13951,NaN,14037,14265,14428,14542,14742,NaN,14937,15092,15281,15422,15528,15730,NaN,15929,16086,16300,NaN,16388,16587,NaN,16788,16958,17330,17471,17585,17778,NaN,17980,18131,18352,NaN,18438,18647,NaN,18847,19002,19227,NaN,19312,19524,19678,19796,19997,NaN,20201,20378
2018.7,2210.2,2400.5,2744.1,2895.5,3058.2,3223.9,3382.1,3538.4,3690.2,3839.2,NaN,4022.3,4158.1,4297.2,NaN,4474.8,4578.9,NaN,4844.1,4980.7,5123.5,NaN,5303.9,5399.8,NaN,5657,5794.3,5943.3,NaN,6129.8,6231.5,6417.3,6561.7,6685.9,NaN,6932.5,7067.2,7205.3,NaN,7393.3,7497.3,NaN,7758.8,7896.2,8041.7,8215.9,8358.5,8479.4,NaN,8726.1,8862,8997.5,NaN,9187.1,9286.2,NaN,9553.8,9691.9,9836.5,NaN,10028,10127,10336,10489,10618,NaN,10860,10997,11143,NaN,11334,11449,11643,11791,11920,NaN,12177,12322,12462,NaN,12654,12765,12978,13138,13272,NaN,13528,13666,13811,NaN,14002,14108,14340,14501,14634,NaN,14894,15024,15177,15342,15491,15603,NaN,15880,16029,16167,NaN,16352,16458,NaN,16737,16884,17036,17399,17545,17687,NaN,17929,18070,18213,NaN,18405,18520,NaN,18796,18940,19085,NaN,19278,19387,19603,19752,19885,NaN,20151,20291,20457
