n,n,n,n,n,n,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
2162.8,2320.1,2464.5,2610.1,2755.6,2897.3,3000.6,NaN,3188.4,3355.6,3751.5,3896.3,4035.5,4170.8,4279.3,NaN,4458.3,4592.7,4807.2,NaN,4885.2,5065.6,NaN,5252,5392.4,5560,5700,5807.5,5981.9,NaN,6169.8,6313.7,6529.6,NaN,6606.7,6794.5,NaN,6985.8,7126.9,7317,NaN,7422.7,7604.5,NaN,7794.9,7940.4,8094.1,8249.5,8356.4,8533.2,NaN,8722.8,8868.9,9059.3,NaN,9166.2,9350.8,NaN,9541.6,9685.1,9900,NaN,9980.5,10146,10294,10402,10593,NaN,10783,10933,11114,11261,11367,11554,NaN,11744,11887,12101,NaN,12184,12365,NaN,12559,12716,12925,13073,13182,13369,NaN,13564,13716,13911,NaN,14014,14200,NaN,14395,14548,14769,NaN,14856,15053,NaN,15245,15399,15618,NaN,15706,15904,NaN,16099,16249
2218,2380.5,2537.5,2684,2828.5,2971,NaN,3135.6,3270.6,3443.6,3814.6,3969.4,4110.6,4245.6,NaN,4408.5,4554.3,4682.6,NaN,4855.1,4962.8,NaN,5207.9,5351.6,5478.2,5638.8,5773.2,5888.6,NaN,6125.6,6272.6,6400.6,NaN,6580.6,6681.2,NaN,6942.5,7086.7,7208.8,NaN,7389.8,7500.9,NaN,7751.4,7898,8023,8173.5,8322.5,8434.9,NaN,8680,8824.7,8973.1,NaN,9136,9249.9,NaN,9498.9,9646.8,9768.8,NaN,9950.6,10059,10221,10363,10505,NaN,10740,10892,11018,11190,11336,11447,NaN,11699,11848,11973,NaN,12151,12267,NaN,12514,12666,12799,13003,13144,13257,NaN,13520,13650,13799,NaN,13983,14095,NaN,14349,14505,14636,NaN,14822,14937,NaN,15204,15344,15483,NaN,15670,15789,NaN,16055,16209,16335
