n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b
1974.4,2158.3,2404.2,2560.6,2716.8,2864.2,3011.6,3158.1,3271.5,NaN,3459.9,3610.5,3825,NaN,3911.8,4095.3,NaN,4288,4438.6,4664.3,NaN,4745.4,4930.2,NaN
2010.8,2204.9,2444.5,2623.2,2789.4,2936,3090.6,3230.8,NaN,3404.5,3555.7,3691.2,NaN,3872.5,3979.5,NaN,4235,4383.9,4522.6,NaN,4714.1,4822,NaN,5075.7
