n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1978.5,2129.2,2277.1,2430,2590.1,2767.8,2916.3,3063.2,3174,NaN,3360.4,3507.6,3719.2,NaN,3798.4,3988.5,NaN,4184.5,4333.6,4529.6,NaN,4629.9,4837.1,4988.8,5101.7,5285.7,NaN,5477.1,5624.9,5810.1,NaN,5928.5,6120.8,NaN,6316.1,6466.6,6623.5,6780.6,6885.6,7077.7,NaN,7272.9,7417.2,7636.1,7787.1,7910.2,8072.2,NaN,8283.3,8428.7,8626.8,NaN,8729,8918.7,NaN,9120.3,9261.6,9466.8,9618.8,9731.5,9913.2,NaN,10108,10264,10455,NaN,10564,10755,10908,11016,11207,NaN,11403,11555
2028.2,2189.4,2335.3,2482.6,2656.2,2840.6,2990.7,3137.8,NaN,3313.4,3462.3,3587.6,NaN,3767.6,3872.2,NaN,4134.7,4283.1,4418.2,NaN,4598.8,4705.3,4912.2,5067.2,5176.6,NaN,5432.1,5576.6,5713.9,NaN,5895.2,6001.7,NaN,6269.4,6412.9,6552.2,6699.3,6850.2,6964,NaN,7224,7369.3,7501.9,7713.2,7865.4,8001.6,NaN,8238.5,8366.3,8511.6,NaN,8697.2,8804.8,NaN,9064.8,9218,9348,9546.2,9692.7,9825.1,NaN,10064,10211,10344,NaN,10531,10640,10831,10983,11094,NaN,11356,11511,11639
