n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1990.8,2275.5,2452,2619.3,2790.1,2932.3,3075.5,3213.6,3324.2,NaN,3509.4,3652,3858.1,NaN,3938.3,4115.5,NaN,4301.5,4450.9,4657,NaN,4734.8,4915.4,NaN,5104.6,5249.3,5465.2,NaN,5547.9,5727.9,5879.8,5985.9,6177.8,NaN,6369.4,6518.1,6740.3,NaN,6823.5,7019.7,NaN,7210.3,7356.6,7584.4,NaN,7664.2,7873.3,NaN,8060.1,8213.7,8439.5,NaN,8522.4,8721.4,8875,8982.2,9167.1,NaN,9362.1,9519.3
2020.9,2353.4,2502.6,2679.2,2841.5,2993.8,3151.4,3285.9,NaN,3460.9,3609.9,3733.2,NaN,3906.1,4016.9,NaN,4258.1,4403.2,4527.6,NaN,4707.1,4812.9,NaN,5061,5205,5334.6,NaN,5515.9,5625.8,5802.4,5950.8,6064,NaN,6323.1,6475.1,6601.7,NaN,6788.2,6905.1,NaN,7166.3,7312.3,7440.1,NaN,7634.8,7747.4,NaN,8013.5,8162.3,8294.5,NaN,8490.2,8603.2,8800.8,8947.3,9051,NaN,9316.3,9460.2,9600.9
