n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
2602.8,2748.2,2911.9,3059.4,3204.9,3348.3,3484.7,3607.3,NaN,3793.7,3935.8,4146.2,NaN,4225.8,4406.3,NaN,4598.2,4741.8,4941.1,NaN,5042.3,5223.3,NaN,5415.9,5570.3,5784.7,NaN,5865.9,6054.5,NaN,6248.4,6402.1,6610.2,6756.5,6858.8,7043.7,NaN,7235.8,7385.8,7591.3,NaN,7692.2,7885,NaN,8072.8,8223.8,8429.8,NaN,8533.8,8720.3,NaN,8917.1,9071.8
2639.6,2796.6,2971.7,3135,3281,3425.3,3563.6,NaN,3751.5,3896,4021.8,NaN,4195.3,4301,NaN,4553.4,4698.3,4827.9,NaN,5007.2,5126.1,NaN,5371.8,5518.4,5651.8,NaN,5836.1,5942.3,NaN,6199.9,6349.3,6487,6686.9,6830.6,6938.4,NaN,7194.2,7336.8,7468.8,NaN,7662.5,7772.3,NaN,8027,8178.8,8306.4,NaN,8499.9,8613.5,NaN,8868.3,9016.1,9158.8
