n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,n,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g
2589.2,2777.2,2947.9,3176.5,3369.1,3663.2,3835.4,4067.5,4234.5,4395,4564.2,NaN,4755.5,4902.3,5065.2,NaN,5216.3,5421.1,NaN,5621,5781.7,5944.2,NaN,6178.5,6352.7,6516,6674.2,NaN,6871.8,7029.8,7189.5,NaN,7336.6,7535.6,NaN,7737.2,7890.7,8052,NaN,8203.7,8405,8569.2,8693,8906.6,9050.1,9221,9384.8,9514.2,NaN,9709.8,9862.6,10027,NaN,10179,10395,10551,10708,10870,NaN,11074,11248,11442,11611,11725,11934,NaN,12136,12307,12469,NaN,12621,12835,12998,13146,13286,NaN,13488,13644,13814,NaN
2628.8,2828,3003.6,3231.4,3417.7,3706.9,3882.4,4124.1,4307,4471.2,NaN,4704.8,4849.6,4987.9,NaN,5177.9,5307.5,NaN,5570.4,5724.5,5866.9,NaN,6056,6250.3,6433.6,6592.8,NaN,6819.2,6974.8,7121.2,NaN,7299.7,7428.6,NaN,7687.9,7835.7,7977.6,NaN,8163.6,8290.6,8480.1,8641.5,8783.7,8974.6,9131.3,9297.8,9457.8,NaN,9659.5,9812.4,9950.6,NaN,10142,10268,10462,10623,10781,NaN,11027,11178,11330,11521,11683,11820,NaN,12082,12245,12392,NaN,12582,12713,12906,13076,13224,NaN,13441,13594,13729,NaN,13935
