n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f
4955.6,5105,5244.1,5384.6,5533.9,5664.3,NaN,5848.4,5991.7,6199.9,NaN,6278.8,6465.9,NaN,6659.4,6801.4,7016.8,NaN,7095,7281.6,NaN,7472.8,7624.4,7834.9,NaN,7915.8,8101.9,NaN,8293.2,8437.8,8643.8,NaN,8736.8,8941.8,9094.6,9219.9,9393,NaN,9585.5,9730.4,9923.1,10071,10178,10365,NaN,10560,10708,10911,NaN,11004,11186,NaN,11384,11528,11746,NaN,11827,12029,12175,12300,12486,NaN,12679,12824,13044,NaN,13125,13316,NaN,13517,13676,14239,14375,14522,14631,NaN,14820,14966,15180,NaN,15265,15453,NaN,15648,15797,16017,NaN,16098,16316,16468,16618,16733,16934,NaN,17132,17285,17505,NaN,17590
5014.3,5172.5,5319,5459.1,5608.6,NaN,5799.4,5940.4,6073.1,NaN,6246.2,6348.8,NaN,6609.6,6750.9,6881.9,NaN,7064,7164.9,NaN,7425.6,7561.4,7704.8,NaN,7885.9,7984.6,NaN,8247.4,8391.1,8517.9,NaN,8703.1,8809.8,9016.6,9170,9304,NaN,9537.7,9671.2,9814.6,9999.7,10142,10271,NaN,10511,10657,10792,NaN,10972,11075,NaN,11336,11474,11609,NaN,11794,11898,12092,12252,12390,NaN,12631,12770,12909,NaN,13092,13197,NaN,13463,13605,13758,14298,14453,14592,NaN,14760,14915,15049,NaN,15229,15330,NaN,15596,15743,15881,NaN,16068,16184,16386,16543,16691,16828,NaN,17084,17235,17372,NaN,17557,17665
