n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f
2581.9,2718.3,2989.8,3132.6,3292.1,3446.2,3593.5,3719.3,NaN,3907.4,4052.8,4272.5,NaN,4353.9,4538.2,NaN,4731.1,4883.6,5097.1,NaN,5178.7,5373.5,NaN,5569.9,5722.5,5940.4,NaN,6022,6213.7,6367.9,6475.6,6665.3,NaN,6858.3,7011.1,7231,NaN,7316.3,7506.8,NaN,7706.7,7861.9,8068.1,8223.2,8326.1,8514.2,NaN,8709.8,8871.1,9090.2,NaN,9174,9355.9,9513.6,9620.1,9814.8,NaN,10012,10171,10404,NaN,10487,10717,10876,11037,11192,11301,NaN,11501,11655,11870,NaN,11952
2613.5,2761.6,3035.1,3194.9,3362.5,3519.5,3669.8,NaN,3856.3,4002.9,4137.2,NaN,4319.4,4423.7,NaN,4679.8,4829,4964.6,NaN,5147.4,5256.7,NaN,5522.5,5668.1,5803.9,NaN,5989.8,6102.9,6295.5,6438.6,6567.5,NaN,6810.7,6955.3,7093.9,NaN,7281.3,7390.6,NaN,7658,7803,7943,8144.6,8289.7,8401.4,NaN,8663.4,8812.8,8951,NaN,9140.6,9258.7,9432.8,9584.4,9714.7,NaN,9967.3,10111,10257,NaN,10453,10570,10790,10949,11113,11270,NaN,11442,11604,11741,NaN,11924,12027
