n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l
1986.8,2120.9,2283.4,2435.7,2594.8,2744.2,2891.5,3004.3,NaN,3192.7,3333.9,3544,NaN,3626.8,3818.9,NaN,4002.6,4151.8,4357.8,NaN,4453.8,4641.9,NaN,4837.6,4998.1,5195.6,NaN,5294.4,5475.1,5628.3,5732.4,5931.3,NaN,6130.3,6283.3,6492,6649.7,6759.9,6949.3,NaN,7148.4,7298.4,7513.4,NaN,7593.2,7788,NaN,7985.3,8145.3,8382.9,8520.3,8625.8,8822.2,NaN,9021.6,9186.6,9454.7,9596.9,9698.9,9899.6,NaN,10098,10257,10474,NaN,10556,10763,11352,11484,11628,11744,NaN,11932,12079,12278,NaN,12379,12574,NaN,12776,12928,13148,NaN,13231,13449,NaN,13653,13813,14021,NaN,14119,14316,NaN,14518,14694,14912,NaN,15000,15207,NaN,15407
2019.8,2177,2336.3,2501.2,2668.8,2816.4,2958.4,NaN,3133.2,3290.7,3418.6,NaN,3593.9,3693.5,NaN,3955.1,4103.1,4236,NaN,4419.5,4529.4,NaN,4785.7,4938.2,5083.7,NaN,5264.6,5372.5,5552.4,5699.9,5808,NaN,6079.5,6235.4,6371.3,6568.9,6721.6,6859.1,NaN,7096.8,7238.7,7382.3,NaN,7560.2,7664.8,NaN,7930.8,8076.4,8222.4,8449.9,8590.9,8698.2,NaN,8969.6,9119.1,9269.7,9526.1,9664.3,9776.1,NaN,10049,10196,10335,NaN,10522,10624,10838,11412,11562,11704,NaN,11882,12024,12167,NaN,12345,12454,NaN,12723,12865,13013,NaN,13201,13305,NaN,13594,13742,13902,NaN,14085,14191,NaN,14465,14623,14775,NaN,14962,15090,NaN,15357,15488
