n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1972.7,2129.4,2316.4,2535.6,2977.9,3128.5,3327.6,3533.8,3723.2,3890.6,4054.2,4202.3,4353.6,NaN,4542.7,4692.5,4848.2,NaN,4999.1,5204.9,NaN,5401.5,5553.8,5777.5,NaN,5858.6,6044.9,6205.6,6333.3,6520.1,NaN,6710.3,6868.7,7029.8,NaN,7182.5,7375.7,NaN,7573.5,7727.4,7946.4,8103.3,8218.3,8407.9,NaN,8608.7,10379,10525,10674,10820,10941,NaN,11134,11278,11496,NaN,11576,11760,NaN,11955,12105,12312,NaN,12408,12600,NaN,12796,12942,13149,NaN,13245,13430,13576,13690,13879,NaN,14076,14227,14436,NaN,14531,14732,14887,14995,15180,NaN,15376,15528,15747,NaN,15852,16045,NaN,16243,16394
2003.5,2166.7,2354.6,2577.7,3009.8,3177.2,3376.3,3571.8,3775.7,3956.6,4116,4271,NaN,4489.9,4647,4779.5,NaN,4962.3,5104.1,NaN,5353,5503.7,5640.4,NaN,5831,5933.7,6122.6,6283.6,6422.8,NaN,6663.7,6814.5,6955.8,NaN,7146.9,7277.7,NaN,7527.7,7678.4,7818.7,8024.2,8179.8,8288.1,NaN,8555.4,8678.3,10418,10587,10746,10893,NaN,11089,11241,11367,NaN,11545,11649,NaN,11907,12059,12190,NaN,12375,12487,NaN,12749,12899,13024,NaN,13211,13322,13511,13654,13790,NaN,14026,14183,14314,NaN,14496,14610,14812,14962,15073,NaN,15330,15481,15615,NaN,15818,15930,NaN,16196,16350,16485
