n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e
1981.8,2108.6,2262.7,2398.2,2536.8,2676.7,2783.2,NaN,2962,3101.4,3309.8,NaN,3389.6,3570.9,NaN,3754.1,3893.8,4098.7,NaN,4176.3,4358.4,NaN,4543.5,4686.5,4875.2,5015.9,5118.6,5303.1,NaN,5488.3,5632.7,5839.6,NaN,5917.6,6097.3,NaN,6286.3,6432.8,6638,6779,6882.5,7070.2,NaN,7258.5,7402,7596.6,7742.2,7850.7,8034,NaN,8223.8,8368.8,8579.3,8722.5,8826.6,9010.8,NaN,9201.3,9342.4,9558.5,NaN,9639.7,9825.9,NaN,10017,10170,10407,10556,10662,10844,NaN,11036,11184,11395,NaN,11478,11662,NaN,11852,12002,12220,NaN,12302,12501,NaN,12690,12850,13052,13201,13308,13493,NaN,13684,13829,13988,NaN,14146,14345,NaN,14543,14693,14917,NaN,15003,15214,15362,15508,15644,15764,NaN,15954,16107
2027.6,2175.2,2332.5,2476.2,2612.2,2749.4,NaN,2912.8,3059.8,3183.5,NaN,3355.8,3458.5,NaN,3714.2,3856.2,3976.4,NaN,4147.8,4248.7,NaN,4499.3,4642,4769.8,4952.4,5085.9,5194.5,NaN,5447.8,5589.7,5712.9,NaN,5888.7,5995.7,NaN,6242.3,6390.5,6520.4,6717.1,6851.2,6959.9,NaN,7216.8,7361.6,7486.2,7671.1,7814.2,7949.8,NaN,8180.6,8321.7,8451.8,8659.7,8794.3,8906.4,NaN,9157.2,9298.3,9428.7,NaN,9609,9719.8,NaN,9972.1,10124,10253,10484,10628,10742,NaN,10991,11141,11270,NaN,11441,11551,NaN,11808,11957,12085,NaN,12271,12382,NaN,12645,12767,12930,13133,13271,13390,NaN,13640,13788,13916,NaN,14107,14246,NaN,14496,14640,14775,NaN,14966,15081,15287,15444,15585,15724,NaN,15912,16054,16194
