n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e
1993.5,2149.2,2298.8,2447.1,2591.9,2691.5,NaN,2880.4,3028.6,3249.9,NaN,3330.4,3517.6,NaN,3715.4,3871.3,4089.8,NaN,4176,4372.7,NaN,4575.3,4729.6,4924.2,5077,5183,5377.5,NaN,5576.5,5742.1,5969.1,6127.8,6240.6,6434.1,NaN,6630.2,6799.7
2046.5,2213.5,2373.5,2521.4,2654.7,NaN,2833.6,2982,3118.1,NaN,3300.2,3402,NaN,3669.4,3811.7,3950.9,NaN,4143.2,4249.8,NaN,4524.3,4672.6,4810.9,5004.6,5146.7,5256.3,NaN,5529.5,5645.5,5822.9,6051.4,6201.5,6333.6,NaN,6584.7,6724.3,6884.7
