n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1982.3,2127.4,2277.2,2431.9,2586.2,2735.7,2887.4,3030.1,3160.8,NaN,3344.6,3485.8,3697,NaN,3776.6,3959.1,NaN,4149.9,4291.4,4504.9,NaN,4586.6,4755.9,4904.9,5012.5,5198.8,NaN,5393.5,5539.2,5756.3,NaN,5839.3,6035.4,NaN,6230.4,6380.8,6623.4,6770.3,6877.2,7073.7,NaN,7268.2,7424.2,7620.7,7770.1,7882.3,8076.7,NaN,8272.8,8425.2,8867.2,9005.2,9146.5,9326.5,NaN,9520.6,9672.4,9885.9,NaN,9968.6,10179,NaN,10366,10534
2021,2178.7,2335.1,2491.2,2644.5,2806.8,2958,3105.2,NaN,3298.8,3436.8,3570.3,NaN,3746.8,3849.9,NaN,4103.4,4236.1,4371.4,NaN,4554.6,4656.5,4823.5,4975.7,5102.8,NaN,5347.9,5482.7,5618.9,NaN,5805.8,5910,NaN,6183.4,6325.1,6469.5,6702,6841.3,6952.2,NaN,7224.9,7349.2,7507.6,7697,7842.9,7975.3,NaN,8228.3,8363.9,8509,8935.1,9080.1,9240.5,NaN,9476.2,9618.8,9755.9,NaN,9936.8,10038,NaN,10318,10462,10618
