n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2734.3,3038.3,3220,3357.6,3508.1,3653.3,3805.6,3921.6,NaN,4105.7,4249.7,4399.5,NaN,4545.8,4726.8,NaN,4922,5067.9,5286.5,NaN,5365,5559.3,NaN,5750.3,5896.4,6112.8,NaN,6193.4,6371.8,6520,6625.2,6805.4,NaN,6998.3,7152,7363.3,NaN,7442.6,7631.7,NaN,7826.1,7985.8,8191.4,NaN,8284.1,8482.8,8626.5,8746.1,8933.3,NaN,9131.2,9280.6,9462.4,9608.8,9714.3,9915,NaN,10108,10257,10447,NaN,10554,10760,10914,11023,11219,NaN,11415,11563,11984,12124,12274,12394,NaN,12589,12738,12937,NaN,13036,13252,13401,13546,13693,NaN,13893,14042,14308,14454,14557,14759,NaN,14954,15110,15264,NaN,15420,15634,15794,15948,16069,NaN,16267,16435,16674,NaN,16759,17024,17187,17335,17487,17641,17763,NaN,17957,18110,18262,NaN,18412,18650,NaN,18850,19007
2931.8,3096.1,3279.5,3417.8,3581.2,3727.4,3876.1,NaN,4058.7,4194.2,4330.3,NaN,4509.4,4626.9,NaN,4874.6,5019.2,5148.5,NaN,5333,5436.4,NaN,5703.6,5845,5979.5,NaN,6158.8,6262.6,6443.8,6589.3,6712.9,NaN,6953.1,7094.5,7236.1,NaN,7412.2,7513.2,NaN,7775.1,7915.3,8065.7,NaN,8253.2,8355.7,8555.9,8698.7,8839.3,NaN,9081.5,9233.2,9367.5,9537.9,9678.6,9800.7,NaN,10065,10199,10339,NaN,10522,10628,10836,10988,11094,NaN,11366,11508,11650,12052,12199,12352,NaN,12545,12691,12821,NaN,13004,13108,13321,13477,13621,NaN,13842,13991,14125,14380,14525,14629,NaN,14908,15059,15195,NaN,15382,15512,15707,15876,16021,NaN,16220,16371,16519,NaN,16724,16832,17089,17266,17412,17568,17718,NaN,17912,18050,18195,NaN,18375,18502,NaN,18802,18947,19092
