n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,a,b,l,e,d,g,f,a,b,l,e
1846.4,1985.7,2135.6,2287.6,2426.6,2568.6,2682.1,NaN,2871.5,3013.8,3223.2,NaN,3303.8,3480.2,NaN,3668.5,3814.2,4011.6,NaN,4107.9,4275.2,4428.2,4533.4,4717.8,NaN,4906.9,5062.4,5235.5,5384.9,5492.6,5680,NaN,5872.6,6014.1,6214.8,NaN,6316.5,6502.2,NaN,6697.1,6849.5,7035.7,7183.6,7283.2,7473.7,NaN,7669.6,7823.2,8174.9,8316.6,8455.6,8561.6,NaN,8754.6,8899.4,9137.2,9291.1,9394.3,9600.4,NaN,9794.8,9948.3,10171,NaN,10244,10406,10607,NaN,10816,10968,11119,NaN,11269,11473,NaN,11665,11822
1884.2,2030.9,2197.8,2364.2,2503.3,2642.8,NaN,2825.8,2971.8,3097.2,NaN,3273.8,3375.7,NaN,3626,3768.2,3896.2,NaN,4078.8,4182.7,4350.7,4501.7,4608.3,NaN,4863.9,5012,5146.8,5313.2,5456.1,5570.6,NaN,5827,5974.5,6097.8,NaN,6284.1,6394.2,NaN,6651,6799.2,6934.5,7110.5,7251.6,7361.2,NaN,7620.3,7775.8,7905.8,8246.8,8394,8532.4,NaN,8701.1,8857.6,8984.9,9210.4,9363.6,9472.6,NaN,9748.8,9895.7,10037,NaN,10213,10346,10485,NaN,10771,10917,11050,NaN,11231,11359,NaN,11615,11768,11911
