n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2210.7,2414.3,2602.6,2811.3,3001.3,3162.4,3317.9,3472.4,NaN,3659.9,3809.5,4030.8,NaN,4111.8,4305,NaN,4500,4651.9,4874,NaN,4960.8,5153.3,NaN,5350.4,5505.7,5728.6,NaN,5812.8,5988.4,6144,6251.3,6446.4,NaN,6639.8,6794.5,7001.7,7162.9,7268.5,7456,NaN,7651,7800.8,8023.1,NaN,8106.4,8296.4,NaN,8492.5,8657.5,8870.3,9025.5,9136.2,9327.9,NaN,9526.8,9679.8,9841.7,NaN,9991.8,10200,10360,10500,10638,NaN,10837,10997,11216,11362,11476,11667,NaN,11864,12017,12240,NaN,12324,12527,NaN,12730,12888,13096,13249,13356,13549,NaN,13751,13932,14098,14263,14368,14573,NaN,14771,14947,15255,15398,15543,15683,15798,NaN,15998,16152,16307,NaN,16460,16670,NaN,16870,17037
2249.6,2453.9,2639.5,2857.1,3060.7,3236.4,3388.2,NaN,3605.6,3758.9,3892.8,NaN,4079.8,4184.5,NaN,4451.9,4595.2,4737.2,NaN,4926.4,5036.2,NaN,5294.8,5452.5,5591.9,NaN,5782,5887.9,6065.4,6218.8,6329.1,NaN,6589.6,6740.5,6878.3,7083.4,7237.2,7347.9,NaN,7601.7,7746.4,7884.8,NaN,8077.5,8179.8,NaN,8443.5,8593,8741.5,8947.6,9099.7,9233.4,NaN,9479.4,9629.9,9766.3,NaN,9953.8,10087,10280,10439,10578,NaN,10789,10930,11089,11296,11436,11572,NaN,11820,11968,12104,NaN,12294,12404,NaN,12677,12838,12971,13175,13325,13432,NaN,13704,13851,14014,14181,14338,14444,NaN,14725,14841,14985,15324,15478,15620,15759,NaN,15946,16102,16238,NaN,16424,16555,NaN,16819,16974,17123
