n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1997.6,2126,2276.4,2441.2,2596.6,2746.5,2892.8,3031.2,3170,NaN,3357.3,3498.1,3713.8,NaN,3793.9,3987.3,NaN,4179.9,4328.4,4534,NaN,4633.8,4818.8,NaN,5015.6,5166.9,5382.6,NaN,5468.3,5656.7,NaN,5855.5,6001.9,6219,NaN,6302,6482,6637.2,6743.9,6933.7,NaN,7129,7285.7,7477.1,7634.3,7746.6,7939.2,NaN,8135.5,8287.8,8508.2,8662.6,8770.9,8959.9,NaN,9156.2,9310.4,9514.9,NaN,9617.4,9807.2,NaN,10008,10168
2034.4,2184.8,2333.8,2497,2662,2825.7,2970.5,3107.6,NaN,3309.3,3460.2,3583.5,NaN,3762.1,3869.2,NaN,4132.2,4282,4414.2,NaN,4600.3,4708.6,NaN,4968.7,5119.1,5249.5,NaN,5432.2,5542.6,NaN,5804.9,5952.4,6085.3,NaN,6270.8,6380.2,6554,6714.2,6816.2,NaN,7084.2,7226.4,7370.1,7530.6,7709.8,7839.8,NaN,8086.1,8239.8,8375.2,8587.2,8735.7,8849.1,NaN,9110.4,9259.1,9395.8,NaN,9583.8,9695.6,NaN,9958.4,10105,10255
