n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f
4605.3,4752.8,4909.9,5055.4,5188.7,5324.8,5467.2,5579.6,NaN,5764.6,5897.3,6107.8,NaN,6186.5,6368.7,NaN,6558.4,6703.7,6945.5,7093.9,7196.7,7383.6,NaN,7573.3,7730.4,7948.9,8103.6,8218.9
4663.1,4819.7,4979.1,5127,5261.4,5398.2,5540.5,NaN,5712.7,5845.1,5980.1,NaN,6155.1,6254.5,NaN,6511.7,6653.8,6784.4,7013.9,7161.2,7272.1,NaN,7526,7662.9,7808.6,8020.6,8177.3,8304.7
