n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
2609.2,3830.9,3933.9,4128.2,4282.2,4430.8,4580.8,4717.6,4858.1,4976.5,NaN,5160,5303.2,5516.5,NaN,5596.8,5789.7,NaN,5975.7,6123.9,6322.2,6470.1,6576,6753.7,NaN,6947.2,7094.1,7309.9,NaN,7391.6,7575.2,NaN,7768.3,7914.5,8135.8,NaN,8218.4,8402.1,NaN,8598.1,8743.9,8973.4,NaN,9056,9233.6,9388.3,9497.4,9691.7,NaN,9885.7,10039,10195,NaN,10397,10567,10726,10870,10974,NaN,11169,11324,11543,NaN,11629,11841,NaN,12038,12192,12435,NaN,12517,12728,12905,13017,13205,NaN,13401,13556,13780,NaN,13864,14080,NaN,14275,14434,14630,NaN,14737,14937,NaN,15133,15303,15530,NaN,15617,15836,15990,16098,16304,NaN,16499,16650,16875,NaN,16963,17185,NaN,17384,17555
2639.2,3868.2,4003.2,4178.9,4333.7,4491,4655.6,4793.7,4933.5,NaN,5112.7,5261.2,5385.1,NaN,5565.4,5665.9,NaN,5925.1,6071.6,6208.9,6395,6540.5,6653.5,NaN,6901.4,7051,7176.3,NaN,7359.6,7466.7,NaN,7722.9,7869.7,7998.7,NaN,8183.8,8293,NaN,8551.5,8699.9,8827.7,NaN,9023.7,9131.9,9307.4,9459.7,9584.9,NaN,9839.4,9985.6,10125,NaN,10312,10449,10643,10804,10945,NaN,11112,11273,11408,NaN,11596,11704,NaN,11991,12146,12278,NaN,12485,12593,12803,12982,13113,NaN,13357,13511,13635,NaN,13832,13939,NaN,14229,14380,14518,NaN,14703,14821,NaN,15086,15239,15388,NaN,15582,15698,15911,16063,16193,NaN,16444,16602,16736,NaN,16930,17044,NaN,17337,17491,17639
