n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2106.5,2249.1,2404.8,2552.1,2673,NaN,2866.4,3009.8,3225.9,NaN,3307.3,3494.8,NaN,3693.5,3847,4066.4,NaN,4150.1,4328.8,4479.4,4588.6,4791.7,NaN,4989.5,5145,5366.7,NaN,5451.2,5649.6,NaN,5837.4,5986.8,6142.3,NaN,6297.6,6482.1,6641.2,6753.9,6949.7,NaN,7149.2,7305.2,7462.9,NaN,7619.2,7818,NaN,8017.8,8171.6,8332.2,NaN,8485.3,8698.9,8854.8,8978.3,9163.4,NaN,9363.4,9523.8,9717.8,9871.6,9985.3,10181,NaN,10383,10542,10705,NaN,10862,11079,NaN,11275,11436,11723,11880,11998,12195,NaN,12399,12554,12710,NaN,12868,13080,NaN,13280,13456,14006,14148,14299,14431,NaN,14631,14783,15009,NaN,15093,15290,NaN,15492,15674,15882,16042,16158,16357,NaN,16559,16711,16879,NaN,17048,17276,17441,17607,17765,17891,NaN,18095,18250,18480,NaN,18570,18784,NaN,18988,19153
2137.1,2315.8,2480.6,2627.1,NaN,2821.3,2960.2,3092.9,NaN,3277.8,3381.8,NaN,3641,3791.7,3932.3,NaN,4118,4221.7,4406.1,4553.4,4660.2,NaN,4941.5,5088.9,5227.5,NaN,5418.7,5526.2,NaN,5788.4,5942.2,6073.5,NaN,6257.4,6390,6559.5,6720.4,6831.4,NaN,7100.5,7253.1,7393.3,NaN,7584,7712.2,NaN,7969.9,8122.4,8254.3,NaN,8449.7,8577.6,8774.7,8933.8,9070,NaN,9314.7,9468.2,9607.2,9801.8,9947,10081,NaN,10336,10469,10632,NaN,10822,10959,NaN,11222,11379,11523,11793,11955,12095,NaN,12348,12500,12640,NaN,12830,12965,NaN,13229,13370,13540,14070,14223,14380,NaN,14584,14731,14868,NaN,15060,15168,NaN,15443,15595,15759,15963,16119,16253,NaN,16508,16660,16797,NaN,16999,17142,17348,17522,17690,17847,NaN,18046,18196,18337,NaN,18536,18649,NaN,18941,19089,19238
