n,n,n,n,n,n,n,t,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
2183.5,2679.7,2835.4,2995,3144.2,3289,3435.2,3504.1,3619.8,3764.3,3973.3,NaN,4054.2,4242.9,NaN,4432.4,4584.4,4773.5,4923.1,5030.4,5214.9,NaN,5410.2,5567.4,5783.9,NaN,5870,6059,NaN,6253.6,6403.7,6563,NaN,6711.5,6920.5,NaN,7107.3,7268.8
2213.6,2724.2,2896,3066.8,3217.8,3365.4,3468.3,3557.2,3713.9,3847,NaN,4021.3,4127,NaN,4385.9,4530.2,4668.1,4851.1,4995.4,5107.3,NaN,5359.8,5500.1,5651,NaN,5835.2,5945.4,NaN,6205,6351.7,6488.7,NaN,6673.8,6803.2,NaN,7057.5,7207,7353.1
