n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
4041.3,4763.2,4907.5,5057.9,5202.3,5338.3,5453,NaN,5632.5,5767.9,5945.6,NaN,6050.9,6227.9,NaN,6413.9,6554.8,6760.5,NaN,6840.4,7018.9,NaN,7201.3,7334.8,7546.2,NaN,7626.5,7807.7,NaN,7994.9,8133.6,8323.3,NaN,8432.6,8615.2,NaN,8801.2,8946.1,9109.3,9258.1,9364.3,9544.3,NaN,9732.9,9879.6
4318.1,4804.1,4963.2,5127.8,5274.9,5411.4,NaN,5592.8,5732.8,5850.6,NaN,6021.3,6124.3,NaN,6373,6515.2,6636.7,NaN,6811.2,6918.3,NaN,7159.9,7315.2,7423.7,NaN,7595.8,7707.4,NaN,7951.3,8095.6,8219.7,NaN,8398.3,8505.3,NaN,8758.9,8909,9033.9,9186.8,9328.9,9467.2,NaN,9687.9,9833.6,9961.5
