n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,l,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e
2778.8,2890.2,3065.8,3331.2,3486.5,3598.8,NaN,3779,3916.5,4124.6,NaN,4203.9,4383.3,NaN,4569.8,4712.9,4920.1,NaN,4998.9,5184.3,NaN,5370.2,5518.3,5732.3,NaN,5810.9,5996.9,NaN,6192.2,6335.7,6533.7,NaN,6626,6814.9,NaN,7004.6,7149.6,7351.8,7500.9,7604.2,7793.3,NaN,7986.8,8133.2,8348.9,NaN,8431.1,8606.3,8751.2,8868.7,9050.3,NaN,9241.8,9391.3,9607.6,NaN,9692.2,9880,NaN,10076,10225,10396,NaN,10533,10744,10888,11024,11148,NaN,11339,11488,11713,NaN,11794,11992,NaN,12192,12351,12583,12732,12832,13032,NaN,13226,13389,13540,NaN,13689,13895,NaN,14090,14245,14558,14697,14820,15001,NaN,15197,15350,15618,15757,15868,16068,NaN,16267,16423,16640,NaN,16722,16916,NaN,17123,17283,17806,17948,18099,18252,18401,18510,NaN,18705,18861,19063,NaN,19165,19357,NaN,19578,19725,19944,NaN,20026,20244,20408,20559,20710,20893,NaN,21095,21257
2835.2,2991.2,3278.6,3417.3,3554.4,NaN,3722.1,3868.4,3998.5,NaN,4166.4,4262.1,NaN,4525.9,4663.7,4792.1,NaN,4965.9,5065.2,NaN,5325.4,5469,5599.8,NaN,5780.3,5881.1,NaN,6142.1,6296.5,6420.1,NaN,6595.1,6696.5,NaN,6957.5,7101,7235.7,7425.7,7568,7695.1,NaN,7939,8080.4,8214.6,NaN,8397.5,8501.5,8678.4,8821.9,8957.6,NaN,9195.1,9344.3,9474.2,NaN,9656.4,9781.3,NaN,10031,10170,10309,NaN,10497,10623,10815,10965,11103,NaN,11292,11440,11573,NaN,11761,11868,NaN,12143,12290,12434,12659,12798,12905,NaN,13182,13327,13471,NaN,13654,13782,NaN,14041,14188,14328,14627,14771,14912,NaN,15150,15300,15437,15689,15829,15962,NaN,16223,16369,16508,NaN,16691,16790,NaN,17070,17221,17365,17871,18023,18173,18327,18477,NaN,18648,18803,18944,NaN,19128,19237,NaN,19506,19681,19814,NaN,19992,20107,20309,20483,20635,20801,NaN,21044,21182,21351
