n,n,n,n,n,n,n,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e
1980.9,2126.4,2281.3,2422.2,2566.3,2722.3,2870.6,2989,NaN,3169.4,3312.4,3488.1,3632.4,3741.2,3909.5,NaN,4097.9,4246.9,4444.2,4586.7,4690,4875,NaN,5066.1,5212.8,5428.5,NaN,5508.7,5698.2,NaN,5891.2,6042.9,6216.8,6363.1,6472,6662,NaN,6855,7006,7218.8,NaN,7300.6,7487.4,NaN,7681.1,7834.3,8030.7,8182.2,8284.4,8468.5,NaN,8661.8,8812.6,9015.4,NaN,9108.3,9308.8,NaN,9504.1,9659.5,9861.8,10012,10117,10300,NaN,10493,10643,10861,NaN,10940,11168,11321,11432,11618,NaN,11814,11965,12189,NaN,12271,12486,NaN,12679,12844,13021,13174,13280,13467,NaN,13661,13812,14065,14202,14305,14499,NaN,14693,14868
2012.8,2174.8,2337.3,2480.2,2632.5,2798.6,2947,NaN,3115.5,3272.3,3397.5,3564.9,3704.6,3818.3,NaN,4055.3,4199.5,4330.3,4521.2,4658.9,4764.3,NaN,5018.9,5162.7,5299.2,NaN,5479.5,5582.2,NaN,5845.3,5994,6123.1,6296.1,6436.9,6564.8,NaN,6809.9,6958.5,7093.4,NaN,7270.2,7375,NaN,7634.6,7782.6,7916.2,8108.3,8254.6,8365.5,NaN,8616.9,8767.2,8898.5,NaN,9078.6,9187.4,NaN,9457.4,9601.3,9744.3,9940.1,10085,10196,NaN,10451,10602,10728,NaN,10911,11013,11239,11391,11517,NaN,11767,11918,12054,NaN,12240,12352,NaN,12634,12787,12930,13101,13246,13356,NaN,13618,13767,13897,14125,14276,14387,NaN,14651,14797,14951
