n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b
3991,4145.6,4295.1,4443.2,4586.4,4727.3,4835.4,NaN,5013.5,5154.2,5359.8,NaN,5439.9,5610.5,NaN,5798.4,5942.3,6128.3,NaN,6231.9,6414.5,NaN,6605.6,6751.4,6916.5,7064.5,7168,7349.4,NaN,7540.3,7682.7,7880.7,NaN,7981,8175.8,8319.5,8427.6,8616.4,NaN,8808.9,8959.4,9182.5,NaN,9263.6,9451.8,NaN,9640.4,9789.4,10006,NaN,10090,10277,NaN,10471,10622,10808,10953,11057,11240,NaN,11431,11578,11989,12132,12247,12430,NaN,12624,12775,12974,NaN,13078,13252,NaN
4032,4197.2,4353.5,4510,4662.8,4802.5,NaN,4960,5114.1,5236,NaN,5408.3,5513.9,NaN,5755,5897,6031,NaN,6199.6,6310.2,NaN,6562.6,6705.8,6833.2,6996.2,7138.7,7247.8,NaN,7495.8,7641.2,7769.4,NaN,7947.6,8059.3,8252.8,8397.5,8505,NaN,8762.8,8908.2,9044.5,NaN,9233.6,9342.9,NaN,9598.5,9749.4,9873.8,NaN,10056,10169,NaN,10424,10567,10704,10889,11028,11135,NaN,11387,11534,11665,12065,12207,12354,NaN,12577,12728,12859,NaN,13046,13154,NaN,13368
